year,stockid,bv_bmsy,year_max,fao_area,region_fao,region_fao_split,n_regions
2014,PAUASPAU5A,1.01556842867487,2014,81,81,81,1
2013,PCEELARGS,0.433123088167619,2013,41,41,41,1
2015,PCEELCSCH,0.496529631607047,2015,87,87,87,1
2015,PCEELSCH,0.397260273972603,2015,87,87,87,1
2015,PCODBS,1.42553191489362,2015,61;67,61;67,61,2
2015,PCODBS,1.42553191489362,2015,61;67,61;67,67,2
2015,PCODGA,1.78383128295255,2015,67,67,67,1
2014,PCODHS,0.872364731540139,2014,67,67,67,1
2014,PCODNPAC,0.205823811733653,2014,61,61,61,1
2002,PCODWCVANI,1.03699301738226,2002,67,67,67,1
2015,PERCHEBSAI,1.58051508581386,2015,61;67,61;67,61,2
2015,PERCHEBSAI,1.58051508581386,2015,61;67,61;67,67,2
2013,PERCHQCI,1.54709748083242,2013,67,67,67,1
2013,PERCHWCVANI,1.50456188672749,2013,67,67,67,1
2016,PHAKEPCOAST,3.22525597269625,2016,67;77,67;77,67,2
2016,PHAKEPCOAST,3.22525597269625,2016,67;77,67;77,77,2
2014,PHALNPAC,1.45528782329593,2014,61;67,61;67,61,2
2014,PHALNPAC,1.45528782329593,2014,61;67,61;67,67,2
2013,PHFLOUNSOJ,0.848529054218332,2013,61,61,61,1
2013,PILCHPJPN,1.3384141451571,2013,61,61,61,1
2013,PILCHTSST,1.07327783968015,2013,61,61,61,1
2013,PINKSHRIMPGM,2.33485333960138,2013,31,31,31,1
2018,PLAIC2123,3.04504504504505,2018,27,27,27,1
2018,PLAIC7d,1.84697591574382,2018,27,27,27,1
2017,PLAICCELT,1.46,2017,27,27,27,1
2014,PLAICECHW,3.35151515151515,2014,27,27,27,1
2018,PLAICIS,2.12663587374904,2018,27,27,27,1
2018,PLAICNS,1.66666961861427,2018,27,27,27,1
2014,POLL5YZ,1.47301997605155,2014,21,21,21,1
2018,POLLFAPL,1.61594202898551,2018,27,27,27,1
2018,POLLIEG,3.58461538461538,2018,27,27,27,1
2018,POLLNEAR,1.74090909090909,2018,27,27,27,1
2018,POLLNS-VI-IIIa,2.03333333333333,2018,27,27,27,1
2015,POPERCHGA,1.55209532869374,2015,67,67,67,1
2011,POPERCHPCOAST,0.48828125,2011,67;77,67;77,67,2
2011,POPERCHPCOAST,0.48828125,2011,67;77,67;77,77,2
2009,PORSHARATL,0.373123535707055,2009,21,21,21,1
2015,PSOLEPCOAST,1.23073246504959,2015,67;77,67;77,67,2
