iso3,year,isscaap_group,value
AIA,2011,Marine fishes not identified,459
AIA,2012,"Abalones, winkles, conchs",339
AIA,2012,"Lobsters, spiny-rock lobsters",144
AIA,2012,Marine fishes not identified,498
AIA,2013,"Abalones, winkles, conchs",164
AIA,2013,"Lobsters, spiny-rock lobsters",150
AIA,2013,Marine fishes not identified,413
AIA,2013,Miscellaneous coastal fishes,61
AIA,2014,"Abalones, winkles, conchs",154
AIA,2014,"Lobsters, spiny-rock lobsters",152
AIA,2014,Marine fishes not identified,510
AIA,2014,Miscellaneous coastal fishes,60
AIA,2015,"Abalones, winkles, conchs",100
AIA,2015,"Lobsters, spiny-rock lobsters",230
AIA,2015,Marine fishes not identified,400
AIA,2015,Miscellaneous coastal fishes,50
AIA,2016,"Abalones, winkles, conchs",42
AIA,2016,"Lobsters, spiny-rock lobsters",318
AIA,2016,Marine fishes not identified,281
AIA,2016,Miscellaneous coastal fishes,43
AIA,2017,"Abalones, winkles, conchs",80
AIA,2017,"Lobsters, spiny-rock lobsters",225
AIA,2017,Marine fishes not identified,401
AIA,2017,Miscellaneous coastal fishes,52
ALB,2000,"Clams, cockles, arkshells",0
ALB,2000,"Cods, hakes, haddocks",332
ALB,2000,Corals,1
ALB,2000,"Flounders, halibuts, soles",87
ALB,2000,"Herrings, sardines, anchovies",45
ALB,2000,"Lobsters, spiny-rock lobsters",0
ALB,2000,Marine fishes not identified,789
ALB,2000,Miscellaneous coastal fishes,522
ALB,2000,Miscellaneous demersal fishes,62
ALB,2000,Miscellaneous pelagic fishes,116
ALB,2000,Mussels,0
ALB,2000,River eels,0
ALB,2000,"Sharks, rays, chimaeras",149
ALB,2000,"Shrimps, prawns",20
ALB,2000,"Squids, cuttlefishes, octopuses",225
ALB,2000,"Tunas, bonitos, billfishes",25
ALB,2001,"Clams, cockles, arkshells",0
ALB,2001,"Cods, hakes, haddocks",380
ALB,2001,Corals,1.2
ALB,2001,"Flounders, halibuts, soles",30
ALB,2001,"Herrings, sardines, anchovies",127
ALB,2001,"Lobsters, spiny-rock lobsters",11
ALB,2001,Marine fishes not identified,312
ALB,2001,Miscellaneous coastal fishes,638
ALB,2001,Miscellaneous demersal fishes,34
ALB,2001,Miscellaneous pelagic fishes,44
ALB,2001,Mussels,0
ALB,2001,River eels,98
ALB,2001,"Sharks, rays, chimaeras",45
ALB,2001,"Shrimps, prawns",75
ALB,2001,"Squids, cuttlefishes, octopuses",111
ALB,2001,"Tunas, bonitos, billfishes",32
ALB,2002,"Clams, cockles, arkshells",0
ALB,2002,"Cods, hakes, haddocks",206
ALB,2002,Corals,1.8
ALB,2002,"Flounders, halibuts, soles",204
ALB,2002,"Herrings, sardines, anchovies",93
ALB,2002,"Lobsters, spiny-rock lobsters",7
ALB,2002,Marine fishes not identified,323
ALB,2002,Miscellaneous coastal fishes,715
ALB,2002,Miscellaneous demersal fishes,111
ALB,2002,Miscellaneous pelagic fishes,112
ALB,2002,Mussels,50
ALB,2002,River eels,2
ALB,2002,"Sharks, rays, chimaeras",209
ALB,2002,"Shrimps, prawns",175
ALB,2002,"Squids, cuttlefishes, octopuses",242
ALB,2002,"Tunas, bonitos, billfishes",39
ALB,2003,"Clams, cockles, arkshells",0
ALB,2003,"Cods, hakes, haddocks",392
ALB,2003,Corals,1.6
ALB,2003,"Flounders, halibuts, soles",70
ALB,2003,"Herrings, sardines, anchovies",125
ALB,2003,"Lobsters, spiny-rock lobsters",3
ALB,2003,Marine fishes not identified,4
ALB,2003,Miscellaneous coastal fishes,322
ALB,2003,Miscellaneous demersal fishes,68
ALB,2003,Miscellaneous pelagic fishes,93
ALB,2003,River eels,0
ALB,2003,"Sharks, rays, chimaeras",28
ALB,2003,"Shrimps, prawns",201
ALB,2003,"Squids, cuttlefishes, octopuses",225
ALB,2003,"Tunas, bonitos, billfishes",4
ALB,2004,"Clams, cockles, arkshells",0
ALB,2004,"Cods, hakes, haddocks",479
ALB,2004,Corals,0.5
ALB,2004,"Crabs, sea-spiders",1
ALB,2004,"Flounders, halibuts, soles",116
ALB,2004,"Herrings, sardines, anchovies",77
ALB,2004,"Lobsters, spiny-rock lobsters",5
ALB,2004,Marine fishes not identified,720
ALB,2004,Miscellaneous coastal fishes,459
ALB,2004,Miscellaneous demersal fishes,38
ALB,2004,Miscellaneous pelagic fishes,164
ALB,2004,River eels,2
ALB,2004,Sea-urchins and other echinoderms,35
ALB,2004,"Sharks, rays, chimaeras",53
ALB,2004,"Shrimps, prawns",308
ALB,2004,"Squids, cuttlefishes, octopuses",278
ALB,2004,"Tunas, bonitos, billfishes",7
ALB,2005,"Clams, cockles, arkshells",0
ALB,2005,"Cods, hakes, haddocks",273
ALB,2005,"Crabs, sea-spiders",4
ALB,2005,"Flounders, halibuts, soles",72
ALB,2005,"Herrings, sardines, anchovies",121
ALB,2005,"Lobsters, spiny-rock lobsters",7
ALB,2005,Marine fishes not identified,944
ALB,2005,Miscellaneous coastal fishes,537
ALB,2005,Miscellaneous demersal fishes,39
ALB,2005,Miscellaneous pelagic fishes,136
ALB,2005,River eels,3
ALB,2005,Sea-urchins and other echinoderms,18
ALB,2005,"Sharks, rays, chimaeras",175
ALB,2005,"Shrimps, prawns",240
ALB,2005,"Squids, cuttlefishes, octopuses",186
ALB,2005,"Tunas, bonitos, billfishes",35
ALB,2006,"Clams, cockles, arkshells",0
ALB,2006,"Cods, hakes, haddocks",290
ALB,2006,Corals,0.3
ALB,2006,"Crabs, sea-spiders",9
ALB,2006,"Flounders, halibuts, soles",87
ALB,2006,"Herrings, sardines, anchovies",143
ALB,2006,"Lobsters, spiny-rock lobsters",11
ALB,2006,Marine fishes not identified,900
ALB,2006,Miscellaneous coastal fishes,756
ALB,2006,Miscellaneous demersal fishes,78
ALB,2006,Miscellaneous pelagic fishes,198
ALB,2006,River eels,3
ALB,2006,Sea-urchins and other echinoderms,23
ALB,2006,"Sharks, rays, chimaeras",203
ALB,2006,"Shrimps, prawns",185
ALB,2006,"Squids, cuttlefishes, octopuses",271
ALB,2006,"Tunas, bonitos, billfishes",53
ALB,2007,"Clams, cockles, arkshells",0
ALB,2007,"Cods, hakes, haddocks",287
ALB,2007,Corals,0.4
ALB,2007,"Flounders, halibuts, soles",99
ALB,2007,"Herrings, sardines, anchovies",108
ALB,2007,"Lobsters, spiny-rock lobsters",4
ALB,2007,Marine fishes not identified,772
ALB,2007,Miscellaneous coastal fishes,602
ALB,2007,Miscellaneous demersal fishes,137
ALB,2007,Miscellaneous pelagic fishes,258
ALB,2007,River eels,3
ALB,2007,"Sharks, rays, chimaeras",87
ALB,2007,"Shrimps, prawns",216
ALB,2007,"Squids, cuttlefishes, octopuses",210
