iso3,year,value,variable,units,source
AGO,1995,30364,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ARG,1995,12100,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BGD,1995,1320480,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
BRA,1995,520000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CAN,1995,75863,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHL,1995,58177,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CHN,1995,8759162,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
CMR,1995,24136,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DEU,1995,4646,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
DNK,1995,5055,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ECU,1995,10816,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EGY,1995,37000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ESP,1995,75009,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
EU,1995,157226,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRA,1995,20958,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
FRO,1995,2192,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GBR,1995,19986,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GHA,1995,220711,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
GRL,1995,4700,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IDN,1995,2463237,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IND,1995,6100000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRL,1995,7500,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
IRN,1995,104178,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
ISL,1995,7000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
JPN,1995,301440,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KHM,1995,72040,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
KOR,1995,117712,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MAR,1995,99885,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MEX,1995,249541,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MMR,1995,900000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MRT,1995,32544,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
MYS,1995,82200,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NGA,1995,408500,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NLD,1995,3756,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
NOR,1995,23653,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
OMN,1995,35811,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PAK,1995,389914,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PER,1995,60030,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PHL,1995,1421715,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
PNG,1995,11000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
POL,1995,10137,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
RUS,1995,300000,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SEN,1995,51734,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SLE,1995,17900,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
SWE,1995,3287,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
THA,1995,157377,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TUR,1995,33614,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
TWN,1995,204149,fishers,individuals,FAO Yearbook of Fishery and Aquaculture Statistics (2017)
