Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2021,biomass,Total,atlantic,117873629.10458377,118313705.75220962,0.003733461427877046,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2022,biomass,Total,atlantic,118904437.51887377,120002496.19197504,0.00923479977714861,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2023,biomass,Total,atlantic,119638257.27779822,121475213.40361392,0.015354253460499012,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2024,biomass,Total,atlantic,120155068.67846416,122730426.0305878,0.021433613916157987,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2025,biomass,Total,atlantic,120515044.8939693,123782999.59555289,0.027116570420388453,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2026,biomass,Total,atlantic,120762781.649923,124655227.23559532,0.032232162364030814,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2027,biomass,Total,atlantic,120930938.19713701,125371677.86350225,0.03672128681517472,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2028,biomass,Total,atlantic,121043196.38085935,125956334.8898785,0.04058996007970647,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2029,biomass,Total,atlantic,121116579.57263893,126431140.9003461,0.04387971776002637,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2030,biomass,Total,atlantic,121163225.95489696,126815386.46393582,0.046649141804320095,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2031,biomass,Total,atlantic,121191721.30228908,127125586.02113055,0.048962624303689826,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2032,biomass,Total,atlantic,121208088.00657366,127375617.09055057,0.05088380804787892,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2033,biomass,Total,atlantic,121216511.83589882,127576985.95890516,0.05247201083972011,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2034,biomass,Total,atlantic,121219871.73623931,127739139.07160628,0.05378051669244586,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2035,biomass,Total,atlantic,121220123.41709962,127869774.81326094,0.054856002524274784,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2036,biomass,Total,atlantic,121218575.34540884,127975132.27322637,0.055738626762151834,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2037,biomass,Total,atlantic,121216086.13051592,128060246.70691647,0.056462477835089446,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2038,biomass,Total,atlantic,121213204.82400233,128129168.93671894,0.057056193859063235,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2039,biomass,Total,atlantic,121210269.9925802,128185150.00492883,0.05754363894062429,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2040,biomass,Total,atlantic,121207479.17413479,128230794.36673066,0.05794456943127828,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2041,biomass,Total,atlantic,121204937.1709694,128268185.66521662,0.058275253955075636,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2042,biomass,Total,atlantic,121202689.3062346,128298989.20470056,0.058549030051109036,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2043,biomass,Total,atlantic,121200744.0618768,128324534.96251886,0.05877679180752498,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2044,biomass,Total,atlantic,121199088.26989491,128345884.54756397,0.058967409571217676,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
2045,biomass,Total,atlantic,121197697.12267542,128363885.03645773,0.05912808645636848,TN/RL/W/276/Rev.1 | Sustainability scenario,Chair's text - Consolidated text (June 2021) - Sustainability scenario (TN/RL/W/276/Rev.1 | Sustainability scenario),Other
