"","Region","Category","Year","Variable","Minimum","Maximum","Median","Mean"
"1","atlantic","Ambitious Reform",2050,"Biomass",6.34,6.34,6.34,6.34
"2","atlantic","Ambitious Reform",2050,"Catches",-2.3,-2.3,-2.3,-2.3
"3","atlantic","Ambitious Reform",2050,"Fishing Mortality",-8.13,-8.13,-8.13,-8.13
"4","atlantic","Ambitious Reform",2050,"Revenue",-0.3,-0.3,-0.3,-0.3
"5","atlantic","IUU",2050,"Biomass",0.01,0.01,0.01,0.01
"6","atlantic","IUU",2050,"Catches",0,0,0,0
"7","atlantic","IUU",2050,"Fishing Mortality",-0.02,-0.01,-0.02,-0.0175
"8","atlantic","IUU",2050,"Revenue",0,0,0,0
"9","atlantic","OFOC",2050,"Biomass",0.25,5.25,2.41,2.51090909090909
"10","atlantic","OFOC",2050,"Catches",-1.89,-0.08,-0.88,-0.884545454545455
"11","atlantic","OFOC",2050,"Fishing Mortality",-6.79,-0.33,-3.21,-3.29
"12","atlantic","OFOC",2050,"Revenue",-0.25,-0.01,-0.11,-0.115454545454545
"13","atlantic","Overfished",2050,"Biomass",0.75,2.12,0.96,1.1975
"14","atlantic","Overfished",2050,"Catches",-0.77,-0.26,-0.33,-0.4225
"15","atlantic","Overfished",2050,"Fishing Mortality",-2.83,-1,-1.28,-1.5975
"16","atlantic","Overfished",2050,"Revenue",-0.1,-0.03,-0.04,-0.0525
"17","atlantic","Other & Multiple",2050,"Biomass",0.04,5.97,3.83,3.814
"18","atlantic","Other & Multiple",2050,"Catches",-2.15,-0.02,-1.39,-1.3652
"19","atlantic","Other & Multiple",2050,"Fishing Mortality",-7.66,-0.05,-5.03,-4.9584
"20","atlantic","Other & Multiple",2050,"Revenue",-0.28,0,-0.18,-0.18
"21","indian","Ambitious Reform",2050,"Biomass",6.83,6.83,6.83,6.83
"22","indian","Ambitious Reform",2050,"Catches",1.08,1.08,1.08,1.08
"23","indian","Ambitious Reform",2050,"Fishing Mortality",-5.39,-5.39,-5.39,-5.39
"24","indian","Ambitious Reform",2050,"Revenue",0.14,0.14,0.14,0.14
"25","indian","IUU",2050,"Biomass",0,0,0,0
"26","indian","IUU",2050,"Catches",0,0,0,0
"27","indian","IUU",2050,"Fishing Mortality",0,0,0,0
"28","indian","IUU",2050,"Revenue",0,0,0,0
"29","indian","OFOC",2050,"Biomass",0,8.37,3.36,3.43909090909091
"30","indian","OFOC",2050,"Catches",-5.47,0.76,0,-1.06454545454545
"31","indian","OFOC",2050,"Fishing Mortality",-12.77,0,-3.49,-4.23272727272727
"32","indian","OFOC",2050,"Revenue",-0.73,0.1,0,-0.141818181818182
"33","indian","Overfished",2050,"Biomass",0,0,0,0
"34","indian","Overfished",2050,"Catches",0,0,0,0
"35","indian","Overfished",2050,"Fishing Mortality",0,0,0,0
"36","indian","Overfished",2050,"Revenue",0,0,0,0
"37","indian","Other & Multiple",2050,"Biomass",0,8.3,5.4,4.9764
"38","indian","Other & Multiple",2050,"Catches",-9.96,1.02,0.07,-2.4068
"39","indian","Other & Multiple",2050,"Fishing Mortality",-16.05,0,-4.52,-6.9536
"40","indian","Other & Multiple",2050,"Revenue",-1.36,0.13,0.01,-0.3276
"41","pacific","Ambitious Reform",2050,"Biomass",19.26,19.26,19.26,19.26
"42","pacific","Ambitious Reform",2050,"Catches",6.65,6.65,6.65,6.65
"43","pacific","Ambitious Reform",2050,"Fishing Mortality",-10.58,-10.58,-10.58,-10.58
"44","pacific","Ambitious Reform",2050,"Revenue",0.84,0.84,0.84,0.84
"45","pacific","IUU",2050,"Biomass",0,0,0,0
"46","pacific","IUU",2050,"Catches",0,0,0,0
"47","pacific","IUU",2050,"Fishing Mortality",0,0,0,0
"48","pacific","IUU",2050,"Revenue",0,0,0,0
"49","pacific","OFOC",2050,"Biomass",0.48,11.26,5.03,5.98636363636364
"50","pacific","OFOC",2050,"Catches",0.19,4.17,1.93,2.25727272727273
"51","pacific","OFOC",2050,"Fishing Mortality",-6.37,-0.28,-2.95,-3.43272727272727
"52","pacific","OFOC",2050,"Revenue",0.03,0.53,0.25,0.289090909090909
"53","pacific","Overfished",2050,"Biomass",0.04,1.89,0.06,0.5125
"54","pacific","Overfished",2050,"Catches",0.01,0.73,0.02,0.195
"55","pacific","Overfished",2050,"Fishing Mortality",-1.14,-0.02,-0.04,-0.31
"56","pacific","Overfished",2050,"Revenue",0,0.09,0,0.0225
"57","pacific","Other & Multiple",2050,"Biomass",0,17.77,6.93,8.166
"58","pacific","Other & Multiple",2050,"Catches",0,6.22,2.67,3.0212
"59","pacific","Other & Multiple",2050,"Fishing Mortality",-9.81,0,-3.98,-4.6364
"60","pacific","Other & Multiple",2050,"Revenue",0,0.79,0.34,0.3868
