"","Id","Name","Category","Year","Region","Biomass","Catches","Fishing Mortality","Revenue"
"1","Ambitious Reform","All subsidies","Ambitious Reform",2050,"atlantic",6.34,-2.3,-8.13,-0.3
"2","RD/TN/RL/87","IUU (Option A)","IUU",2050,"atlantic",0.01,0,-0.02,0
"3","RD/TN/RL/104","IUU (Option B)","IUU",2050,"atlantic",0.01,0,-0.02,0
"4","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2050,"atlantic",0.01,0,-0.01,0
"5","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU",2050,"atlantic",0.01,0,-0.02,0
"6","RD/TN/RL/81","CAP - De minimis","OFOC",2050,"atlantic",0.25,-0.08,-0.33,-0.01
"7","RD/TN/RL/79/Rev.1","OFOC - Negative effects (Option A)","OFOC",2050,"atlantic",2.12,-0.77,-2.83,-0.1
"8","TN/RL/GEN/199","CAP - Optional criteria","OFOC",2050,"atlantic",0.71,-0.23,-0.93,-0.03
"9","RD/TN/RL/91","OFOC - ABNJ","OFOC",2050,"atlantic",3.42,-1.25,-4.51,-0.16
"10","RD/TN/RL/96/Rev.1","OFOC - List approach","OFOC",2050,"atlantic",1.46,-0.53,-1.96,-0.07
"11","TN/RL/GEN/197/Rev.2","CAP - Tiers","OFOC",2050,"atlantic",2.96,-0.99,-3.84,-0.13
"12","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2050,"atlantic",5.25,-1.89,-6.79,-0.25
"13","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2050,"atlantic",2.12,-0.77,-2.83,-0.1
"14","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC",2050,"atlantic",2.41,-0.88,-3.21,-0.11
"15","RD/TN/RL/124","CAP - Formula","OFOC",2050,"atlantic",3.52,-1.19,-4.56,-0.16
"16","RD/TN/RL/124/Rev.1","CAP - Formula (revised)","OFOC",2050,"atlantic",3.4,-1.15,-4.4,-0.15
"17","RD/TN/RL/77/Rev.2","Overfished - Negative effects (Option A)","Overfished",2050,"atlantic",0.96,-0.33,-1.28,-0.04
"18","RD/TN/RL/95","Overfished - Negative effects + rebuttable (Option B)","Overfished",2050,"atlantic",0.75,-0.26,-1,-0.03
"19","RD/TN/RL/119/Rev.1 | Objective definition","Facilitator's text - Overfished [Objective definition]","Overfished",2050,"atlantic",2.12,-0.77,-2.83,-0.1
"20","RD/TN/RL/119/Rev.1 | Relevant authorities","Facilitator's text - Overfished [Relevant authorities]","Overfished",2050,"atlantic",0.96,-0.33,-1.28,-0.04
"21","TN/RL/GEN/202","Disputed waters","Other & Multiple",2050,"atlantic",0.04,-0.02,-0.05,0
"22","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple",2050,"atlantic",4.8,-1.76,-6.26,-0.23
"23","TN/RL/GEN/200/Rev.1","S&DT","Other & Multiple",2050,"atlantic",4.03,-1.48,-5.3,-0.19
