bin,bad_subs,n_vessels
"(15,115]",667441039.6730862,810
"(115,215]",503004706.02276117,478
"(215,315]",384832010.0244244,261
"(315,415]",414938677.2911653,187
"(415,515]",1083936181.925619,417
"(515,615]",404626357.7204433,193
"(615,715]",436765983.85722744,196
"(715,815]",134647845.28236303,102
"(815,915]",71480808.17571716,54
"(915,1.02e+03]",199100389.19465792,153
"(1.02e+03,1.12e+03]",95394062.45363586,52
"(1.12e+03,1.22e+03]",121536564.28126356,33
"(1.22e+03,1.32e+03]",88571972.99983335,42
"(1.32e+03,1.42e+03]",89480824.39470772,56
"(1.42e+03,1.52e+03]",79409410.64397888,46
"(1.52e+03,1.62e+03]",95430688.46904789,47
"(1.62e+03,1.72e+03]",137211896.93323788,42
"(1.72e+03,1.82e+03]",68873133.83786805,23
"(1.82e+03,1.92e+03]",58101656.24008172,21
"(1.92e+03,2.02e+03]",26461621.021866143,16
"(2.02e+03,2.12e+03]",63807567.46030422,27
"(2.12e+03,2.22e+03]",18033536.75150214,15
"(2.22e+03,2.32e+03]",14085029.765037132,12
"(2.32e+03,2.42e+03]",17596558.69585336,14
"(2.42e+03,2.52e+03]",15096391.168723818,6
"(2.52e+03,2.62e+03]",24530677.25940947,6
"(2.62e+03,2.72e+03]",1531888.2275270098,8
"(2.72e+03,2.82e+03]",14734548.360502044,6
"(2.82e+03,2.92e+03]",10652935.94443288,7
"(2.92e+03,3.02e+03]",8007206.784726427,5
"(3.02e+03,3.12e+03]",4143906.8230301994,2
"(3.12e+03,3.22e+03]",17421072.205802377,3
"(3.32e+03,3.42e+03]",13032395.630516283,1
"(3.42e+03,3.52e+03]",22165836.59383455,2
"(3.52e+03,3.62e+03]",6652358.98282145,5
"(3.62e+03,3.72e+03]",5571832.9916400025,4
"(3.72e+03,3.82e+03]",9654726.129045881,3
"(3.82e+03,3.92e+03]",16370874.3798245,2
"(3.92e+03,4.02e+03]",4426683.426125379,1
"(4.02e+03,4.12e+03]",2978843.4046714962,2
"(4.12e+03,4.22e+03]",1363042.5579826136,1
"(4.22e+03,4.32e+03]",6223029.973067667,2
"(4.32e+03,4.42e+03]",75092882.83604392,12
"(4.42e+03,4.52e+03]",3831473.5603351137,1
"(4.92e+03,5.02e+03]",2230760.4048949876,2
"(5.02e+03,5.12e+03]",1823671.408552905,1
"(5.12e+03,5.22e+03]",2436120.376827624,1
"(5.42e+03,5.52e+03]",939512.5566959603,1
"(6.32e+03,6.42e+03]",20484407.161377277,1
"(6.52e+03,6.62e+03]",6788478.863543457,1
"(7.22e+03,7.32e+03]",4845567.775122975,1
"(7.62e+03,7.72e+03]",10775639.412802787,1
"(7.72e+03,7.82e+03]",69479825.54069084,9
"(7.82e+03,7.92e+03]",11221638.01610233,1
"(8.12e+03,8.22e+03]",13778290.825112395,1
"(8.32e+03,8.42e+03]",2329092.4665406914,1
"(9.02e+03,9.12e+03]",15230324.20944677,1
"(9.42e+03,9.52e+03]",10441558.582822148,1
NA,30154.403854766297,1
