bin,bad_subs,n_vessels
"(52.2,152]",4876358.862349452,27
"(152,252]",30066405.71904959,70
"(252,352]",145790957.5344137,230
"(352,452]",254168611.67767724,375
"(452,552]",414730587.6254985,333
"(552,652]",378031109.14682466,258
"(652,752]",948122720.2337605,509
"(752,852]",437352624.4096375,253
"(852,952]",667697444.550833,296
"(952,1.05e+03]",366773856.94607365,201
"(1.05e+03,1.15e+03]",127487881.01299502,75
"(1.15e+03,1.25e+03]",236916974.54148236,89
"(1.25e+03,1.35e+03]",104452296.78559522,53
"(1.35e+03,1.45e+03]",95368369.41727072,39
"(1.45e+03,1.55e+03]",205078925.05604106,71
"(1.55e+03,1.65e+03]",32419253.00357166,21
"(1.65e+03,1.75e+03]",37931660.430725954,21
"(1.75e+03,1.85e+03]",60846567.21617276,35
"(1.85e+03,1.95e+03]",67030422.11237088,32
"(1.95e+03,2.05e+03]",58352141.57371306,26
"(2.05e+03,2.15e+03]",88216636.32307352,40
"(2.15e+03,2.25e+03]",47534066.072080806,27
"(2.25e+03,2.35e+03]",44501870.17875541,20
"(2.35e+03,2.45e+03]",67201969.2089114,19
"(2.45e+03,2.55e+03]",13119447.64425602,11
"(2.55e+03,2.65e+03]",31645133.39889429,14
"(2.65e+03,2.75e+03]",77522522.87615922,32
"(2.75e+03,2.85e+03]",15110417.589767981,8
"(2.85e+03,2.95e+03]",42797738.271688856,18
"(2.95e+03,3.05e+03]",35207919.6120935,16
"(3.05e+03,3.15e+03]",16281722.304809796,6
"(3.15e+03,3.25e+03]",14363378.578729145,8
"(3.25e+03,3.35e+03]",20886003.043785516,13
"(3.35e+03,3.45e+03]",8261483.632212322,4
"(3.45e+03,3.55e+03]",11091984.457902955,9
"(3.55e+03,3.65e+03]",31767891.59896874,10
"(3.65e+03,3.75e+03]",24081442.28296049,10
"(3.75e+03,3.85e+03]",26740039.445588615,13
"(3.85e+03,3.95e+03]",7133435.257397375,8
"(3.95e+03,4.05e+03]",22178424.401960995,12
"(4.05e+03,4.15e+03]",5408421.931556946,5
"(4.15e+03,4.25e+03]",3166462.4116649646,3
"(4.25e+03,4.35e+03]",14340941.118326122,4
"(4.35e+03,4.45e+03]",12996397.36178598,3
"(4.45e+03,4.55e+03]",17808000.380639065,7
"(4.55e+03,4.65e+03]",1352287.3811766228,3
"(4.65e+03,4.75e+03]",26813811.4059659,2
"(4.75e+03,4.85e+03]",1227040.548371595,1
"(4.85e+03,4.95e+03]",1107085.3201966055,3
"(5.05e+03,5.15e+03]",77994627.36105365,11
"(5.15e+03,5.25e+03]",2436120.376827624,1
"(5.25e+03,5.35e+03]",54364762.508290924,10
"(5.35e+03,5.45e+03]",13032395.630516283,1
"(5.45e+03,5.55e+03]",7956552.842098954,4
"(5.55e+03,5.65e+03]",891561.8579265082,1
"(5.65e+03,5.75e+03]",2536422.6788593545,1
"(5.75e+03,5.85e+03]",4970198.9327570135,3
"(5.85e+03,5.95e+03]",27140285.104116157,2
"(5.95e+03,6.05e+03]",15423953.633662421,3
"(6.05e+03,6.15e+03]",8768644.038495215,2
"(6.15e+03,6.25e+03]",2444252.1311776335,1
"(6.25e+03,6.35e+03]",2796469.7273747968,1
"(6.35e+03,6.45e+03]",2329092.4665406914,1
"(6.45e+03,6.55e+03]",3176587.9684892353,1
"(6.55e+03,6.65e+03]",1881052.6602084711,1
"(6.75e+03,6.85e+03]",2506150.0816025855,1
"(7.25e+03,7.35e+03]",4389419.854236193,1
"(7.45e+03,7.55e+03]",3572501.8514391663,2
"(7.55e+03,7.65e+03]",2244565.0270796935,1
"(7.95e+03,8.05e+03]",34822408.706826314,3
"(8.05e+03,8.15e+03]",2481628.9437451223,1
"(8.65e+03,8.75e+03]",15230324.20944677,1
"(9.55e+03,9.65e+03]",3831473.5603351137,1
"(9.85e+03,9.95e+03]",10441558.582822148,1
NA,64019.72846832273,1
