bin,bad_subs,n_vessels
"(14.9,24.9]",450208909.3892836,671
"(24.9,34.9]",800707631.0033875,668
"(34.9,44.9]",673246046.0926894,421
"(44.9,54.9]",1778903277.7482078,727
"(54.9,64.9]",864162538.0409834,450
"(64.9,74.9]",688629033.5131967,310
"(74.9,84.9]",157881590.92048508,85
"(84.9,94.9]",49792458.65945701,29
"(94.9,105]",99686901.35426933,16
"(105,115]",47831565.206107594,8
"(115,125]",74311258.46551093,12
"(135,145]",25671882.792268917,2
NA,53079.174286244015,1
