vessel_class,bad_subs,n_vessels
drifting_longlines,3264332311.8222737,2002
driftnets,475925.1408785586,1
fishing,66693300.75568525,108
fixed_gear,5370165.139959812,10
other_fishing,5956416.769299387,7
other_purse_seines,10139326.112744974,17
pole_and_line,131044991.24803692,79
pots_and_traps,11996695.118564278,7
purse_seines,1529.4518345893293,1
set_gillnets,6153254.381634299,18
set_longlines,34027163.24370628,32
squid_jigger,897462776.1526479,635
trawlers,788601009.8011343,222
trollers,662207.1625390109,4
tuna_purse_seines,488169100.05919445,257
