parameter,value,source
phi,0.188,Thorson et al. 2012
msy,109408999.19358975,Costello et al. 2016
k,995621892.6616666,Costello et al. 2016; World Bank 2017
g,0.2747377886707155,Calculated
r,1.7361090050043086,Calculated
h0,84928267.60007219,FAO 2020
b0,212291690.35447422,FAO 2019; World Bank 2017
e0,24235624425.29395,GFW 2019
epsilon,-1.15,Costello et al. 2016
beta,1.3,Costello et al. 2016
p0,1378.0622315914181,World Bank 2017
delta,346107826465.4345,Costello et al. 2016
eta,0.1,Calculated
omega,0.001,Calculated
