iso3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,variable,is_WTO
ABW,163,163,163,160,162,162,145,159,151,163,153,166,138,145,152,150,150,149,149,capture_production,TRUE
AFG,1000,800,900,900,1000,1000,1000,1000,1000,1000,1000,1150,1300,1450,1600,1750,1900,2000,2050,capture_production,TRUE
AGO,239351,254553,255443,212033,240002,202616,225741,306436,305860,272042,310000,342000,374000,407000,442084,495232,486490,531575,442255,capture_production,TRUE
AIA,538,563,588,613,638,663,688,713,739,617,620,884,981,788,876,780,684,758,758,capture_production,TRUE
ALB,3328,3311.2,3656.8,2801.6,4549.5,5000,5652.3,5413.4,5365,5811,5132.2,4805.2,8605.2,8973.5,8705.5,7855.5,7861.7,8564.2,8648.3,capture_production,TRUE
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,capture_production,TRUE
ANT,19941,22865,12961,20209,17346,855,6640,4314,17009,20636,19575,0,0,0,0,0,0,0,0,capture_production,TRUE
ARE,105456,112561,97574,95150,90000,86735,100403,96453,74075,77705,79610,75147,72728,73000,73203,73000,73000,73000,73000,capture_production,TRUE
ARG,921800,931081,946185,910200,944846,929937,1171980,985409,995083,861974,811749,793308,738060,870705,829935,814300,755226,835061,835387,capture_production,TRUE
ARM,1133,866,465,569,218,250,350,1065,601,619,617,795,861,4099,4795,8140,3758,364,369,capture_production,TRUE
ASM,846,3667,6939,5089,4041,4019,5349,6519,4424,4944,5310,4901,6109,3273,2579,3138,3181,4042,3019,capture_production,TRUE
ATF,272,263,414,463,263,263,472,472,480,480,480,480,480,450,430,400,420,420,420,capture_production,TRUE
ATG,1723,1797,2343,2541,2473,2948,3044,3042,3389,2416,2219,3055,5951,4605,3114,3165,3165,3165,3165,capture_production,TRUE
AUS,206380,205227,207516,224550.23,243559.049,250986.289,212900,190499.3166,183642.701,179100.493,188103.549,185519.084,172904.054,170063.5,167530.201,168328.718,188113.381,180758.444,186575.685,capture_production,TRUE
AUS-T,206380,205227,207516,224550.23,243559.049,250986.289,212900,190499.3166,183642.701,179100.493,188103.549,185519.084,172904.054,170063.5,167530.201,168328.718,188113.381,180758.444,186575.685,capture_production,TRUE
AUT,439,362,350,372,400,370,360,350,350,350,350,350,300,350,350,350,350,350,350,capture_production,TRUE
AZE,18797,10893,11188,6435,9258,9001,4061,2949,1524,1206,1131,1061,911,796,906,594,722,950,1601,capture_production,TRUE
BDI,17315,8964,11000,14697,13855,13400,12978,11309,18265,12615,17305,10654,12309,13232,16054,20120,21805,18999,20310,capture_production,TRUE
BEL,29800,30209,29028,26831,26735,24567,23019,24541,22609,21722,22418,22477,24659,25662,26793,24721,26970,24649,23005,capture_production,TRUE
BEN,32324,38415,40663,41648,39988,31497,41507,36386,37495,38928,39791,38848,40364,42416,47583,36477,49806,48203,54959,capture_production,TRUE
BES,0,0,0,0,0,0,0,0,0,0,0,161,156,166,222,253,313,373,43,capture_production,TRUE
BFA,8500,8500,8500,9000,9000,9000,9500,10200,11093,11800,14520,16060,20300,20500,20700,20750,21770,25208,27299,capture_production,TRUE
BGD,1004264,1068417,1103855,1141241,1187274,1333866,1436496,1494199,1557754,1821579,1726586,1600918,1535715,1550446,1591190,1623837,1674770,1801084,1871225,capture_production,TRUE
BGR,8663,8674,15008,12035,8252,5434,7544,8903,8864,8978,10769,9623,9581,9670,8688,8829,8614,8559,8599,capture_production,TRUE
BHR,11718,11230,11204,13638,14489,11855,15593,15013,14176,16356,13490,9915,27091,14976,15854,15000,15000,15000,15000,capture_production,TRUE
BHS,15527,13671,15675,16724,15164,15555,16242,10912,14813,13809.83,16342.44,15313,16756.829,12765,11878.22,11307.29,11625,11479.94,10998.694,capture_production,TRUE
BIH,255,255,255,255,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,capture_production,TRUE
BLM,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,capture_production,TRUE
BLR,553,944,1020,803,583,594,645,689,809,826,897,1122,965,697,766,869,686,776,802,capture_production,TRUE
BLZ,30322,30746,84360,43358,70046,100507,185773,305645,364274,304217,399928,277415,171946,34673,76190,97524,91431,121299,216107,capture_production,TRUE
BMU,290,309,397,363,386,401,381,425,401,416,375,478,516,461,417,407,410,384,354,capture_production,TRUE
BOL,6106,5940,6300,6599,6436,6360,6080,5770,6750,7568,6946,6677,6820,7171,6990,7000,7000,7000,7000,capture_production,TRUE
BRA,666846,730378,755582,712144,746217,750261,779113,783177,791892,825412,785369,760696,818592,770015,773292,710373,718789,718180,714292,capture_production,TRUE
BRB,3185,2731,2530,2849,2159,2193,1986,2235,3562,3507,3280,1818,1361,2976,2207,1500,1736,1695,1732,capture_production,TRUE
BRN,2487,1597,2058,1789,1923,2709,2279,2550,2357,1958,2351,2154,4523,2826,3186,3370,13292,11864,13566,capture_production,TRUE
BTN,50,45,40,35,30,25,20,15,10,8,6,4,2,3,5,7,12,16,15,capture_production,TRUE
BWA,166,118,139,122,161,132,81,122,86,73,60,234,378,431,1168,81,38,38,38,capture_production,TRUE
CAF,15000,17000,19000,21000,23000,25000,27000,29000,31000,33000,35000,35000,32000,30000,29000,28000,29000,29000,29000,capture_production,TRUE
CAN,1032686,1076924,1105841,1153788,1213644,1145594,1122606,1044982,967874,993173,975764,939688,830947,888819,880729,863376,879104,847702.775,839224,capture_production,TRUE
CHE,1659,1715,1544,1815,1602,1738,1690,1653,2084,2184,2101,2098,2003,2007,1983,2023,1851,1932,1553,capture_production,TRUE
CHL,4547594,4031799,4515437,3921103,5317385,4738165,4461856.001,4132854,3939379,3821818,3048316,3466959,3008915,2288885,2592790,2131953,1826937,2334421,2369456,capture_production,TRUE
CHN,14823866,14403875,14426596,14598934,14786243,14850730,14995706,14987636,15157263,15062980,15054057,15263615.15,15446318,15633567.3,16363366.36,16647934.78,16019261.54,15576684.6,14831309.6,capture_production,TRUE
CIV,80323,76005,69870,68903,54401,42665,54830,47300,43799,42893,48038,52468,52565,61334,74799,98546,104234,91249,105529,capture_production,TRUE
CMR,112109,121031,130135,117801,129000,142345,137232,138612,155300,172000,181000,190000,199000,207000,215000,224000,233190,266737,281945,capture_production,TRUE
COD,244619,231378,237690,234375,235752,234814,234562,234252,231447,228363,224491,221250,218000,227414,229612,230726,237372,238000,238000,capture_production,TRUE
COG,45958,48830,51927,53865,57024,54616,59082,59216,54104,61218,65186,73233,81054,73117,73438,69242,86748,94955,98650,capture_production,TRUE
COK,1025,827,1411,3305,4069,3994,3912,4303,3754,2708,10039,6688,8312,3828,3813,5406,2211,4132,4445,capture_production,FALSE
COL,137061,146164,124799,130147,112492,121002,103997,121655,112892,106450,81168,87491,71975,70631,91944,81971,69338,88120,69382,capture_production,TRUE
COM,12003,11425,11178,11053,10987,10738,10464,14401,22714,44745,63447,38180,36296,43732,9256,12674,16407,16820,13089,capture_production,TRUE
CPV,10586,8676,8851,8136,11031,21931,19826,20127,21119,19213,21412,23077,20943,35984,35677,37744,27397,18697,26586,capture_production,TRUE
CRI,35163,34016,33045,29556,20000,21489,19195,19751,21405,19814,17916,13928,15045,18558,14746,14750,13673,13673,13673,capture_production,TRUE
CUB,68486,54708,32586,34088,32194,28234,27587,29485,28714,28892,23996,24106,22320,22103,25056,25634,23574,21548,22621,capture_production,TRUE
CUW,0,0,0,0,0,0,0,0,0,0,0,22074,24995,26139,28494,30159,35534,32626,37910,capture_production,TRUE
CYM,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,capture_production,TRUE
CYP,68345,54723,141079,47740,78724,61313,29940,2446,1996,1409,1395,1188,1323,1183,1268,1488,1494,1756,1490,capture_production,TRUE
CZE,4654,4646,4983,5127,4528,4242,4646,4276,4164,4112,3990,3859,4033,3761,3812,3841,3507,3557,3650,capture_production,TRUE
DEU,204084,209142,221772,257647,258343,281368,293037,290511,274281,244047,243146,233883,214408,235107,242743,261744,271185,248237,279213,capture_production,TRUE
DJI,800,900,1000,1100,1200,1571,1299,1229,1206,1058,1590,1667,2167,1702,2298,2012,2220,2022,2102,capture_production,TRUE
DMA,1200,1200,1198,950,700,579,694,677,699,772,700,662,625,527,1029,990,809,784,762,capture_production,TRUE
DNK,1534089,1510694,1442348,1031221,1090596,910598,867721,653053,690584,777752,828089,716387,502790,668480,745146,869013,670328,904572,789284,capture_production,TRUE
DNK-T,2148199,2185088,2163963,1827533,1902970,1710722,1743802,1507641,1450750,1343437,1431410,1285836,1086155,1431052,1580423,1722948,1511938,1917205,1750392,capture_production,TRUE
DOM,11015,13217,17261,18097,14223,11193,12956,13709,15382,14233,14490,14005,13663,13188,13782,11893,14640,15715,13542,capture_production,TRUE
DZA,113159.9,133628,134324.8,140959,113464.2,126260.3,145763.8,147363.131,138862.43,127777,93464,101815,105621,101057,97828,95946,100180,104100,115255,capture_production,TRUE
ECU,596489,587770,319169,399526,356774,464387,469060,408926,505571,498679,399874,506430,512308,513347,662356,643280,715496,623300,598807,capture_production,TRUE
EGY,384315,428634,425163,431124,393495,349554,375895,372492,373816,387399,385210,375355,354174,356858,344792,344113,335614,370960,373286,capture_production,TRUE
ERI,12712,8880,7852,6689,7404,4027,8813,2232,1965,3330,3586,2939,4452,4300,4300,4300,4300,4300,4300,capture_production,FALSE
ESP,1063175,1090797.3,883691.5,889386.4,811738.8,855282.1,962036.1,820309.1,923446.9,932442.3,975411.6,1011425.2,931600.9,990142,1064903,977964,916861.3,953769.3,928791.3,capture_production,TRUE
EST,113347,105492,102365,80208,88625,99581,86884,99444,102580,98504,95731,81580,67744,69781,69160,73616,76054,82821,87462,capture_production,TRUE
ETH,15681,15390,12300,9213,10005,9450,9890,13254,16770,17047,18058,24041,28952,38371,50119,45519,50000,56001,57166,capture_production,TRUE
EU,7621229.114,7806825.225,7445748.83,6991282.961,7000304.521,6807457.34,6828397.901,6409829.837,6204102.294,6050396.159,6296297.7,5950584.569,5514840.368,6021504.556,6493520.2,6390508.992,6262708.819,6841338.225,6627991.309,capture_production,TRUE
