iso3,exceeds_gdp_ffa,exceeds_gni_per_capita,exceeds_capture_production,distant_water,meets_any_criteria
ABW,FALSE,FALSE,FALSE,FALSE,FALSE
AFG,TRUE,FALSE,FALSE,FALSE,TRUE
AGO,FALSE,FALSE,FALSE,FALSE,FALSE
ALB,TRUE,FALSE,FALSE,TRUE,TRUE
AND,FALSE,FALSE,FALSE,FALSE,FALSE
ARE,FALSE,TRUE,FALSE,FALSE,TRUE
ARG,FALSE,TRUE,FALSE,FALSE,TRUE
ARM,TRUE,FALSE,FALSE,FALSE,TRUE
ASM,FALSE,FALSE,FALSE,FALSE,FALSE
ATG,FALSE,FALSE,FALSE,FALSE,FALSE
AUS,FALSE,FALSE,FALSE,TRUE,TRUE
AUT,FALSE,TRUE,FALSE,FALSE,TRUE
AZE,FALSE,FALSE,FALSE,FALSE,FALSE
BDI,TRUE,FALSE,FALSE,FALSE,TRUE
BEL,FALSE,TRUE,FALSE,TRUE,TRUE
BEN,TRUE,FALSE,FALSE,FALSE,TRUE
BFA,TRUE,FALSE,FALSE,FALSE,TRUE
BGD,TRUE,FALSE,FALSE,FALSE,TRUE
BGR,FALSE,TRUE,FALSE,FALSE,TRUE
BHR,FALSE,TRUE,FALSE,FALSE,TRUE
BHS,FALSE,TRUE,FALSE,FALSE,TRUE
BIH,FALSE,FALSE,FALSE,FALSE,FALSE
BLR,FALSE,TRUE,FALSE,FALSE,TRUE
BLZ,FALSE,FALSE,FALSE,TRUE,TRUE
BMU,FALSE,FALSE,FALSE,FALSE,FALSE
BOL,TRUE,FALSE,FALSE,FALSE,TRUE
BRA,FALSE,TRUE,FALSE,FALSE,TRUE
BRB,FALSE,FALSE,FALSE,FALSE,FALSE
BRN,FALSE,TRUE,FALSE,FALSE,TRUE
BTN,TRUE,FALSE,FALSE,FALSE,TRUE
BWA,FALSE,TRUE,FALSE,FALSE,TRUE
CAF,TRUE,FALSE,FALSE,FALSE,TRUE
CAN,FALSE,TRUE,FALSE,TRUE,TRUE
CHE,FALSE,TRUE,FALSE,TRUE,TRUE
CHI,FALSE,FALSE,FALSE,FALSE,FALSE
CHL,FALSE,TRUE,TRUE,TRUE,TRUE
CHN,FALSE,TRUE,TRUE,TRUE,TRUE
CIV,TRUE,FALSE,FALSE,TRUE,TRUE
CMR,TRUE,FALSE,FALSE,FALSE,TRUE
COD,TRUE,FALSE,FALSE,FALSE,TRUE
COG,FALSE,FALSE,FALSE,FALSE,FALSE
COL,FALSE,TRUE,FALSE,FALSE,TRUE
