iso3,year,isscaap_group,variable,units,source,value
ABW,2010,Marine fishes not identified,capture_production,tonnes,FAO (2019),48
ABW,2010,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),60
ABW,2010,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),45
ABW,2011,Marine fishes not identified,capture_production,tonnes,FAO (2019),53
ABW,2011,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),63
ABW,2011,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),50
ABW,2012,Marine fishes not identified,capture_production,tonnes,FAO (2019),45
ABW,2012,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),48
ABW,2012,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),45
ABW,2013,Marine fishes not identified,capture_production,tonnes,FAO (2019),45
ABW,2013,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),53
ABW,2013,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),47
ABW,2014,Marine fishes not identified,capture_production,tonnes,FAO (2019),49
ABW,2014,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),56
ABW,2014,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),47
ABW,2015,Marine fishes not identified,capture_production,tonnes,FAO (2019),61
ABW,2015,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),42
ABW,2015,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),47
ABW,2016,Marine fishes not identified,capture_production,tonnes,FAO (2019),41
ABW,2016,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),62
ABW,2016,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),47
ABW,2017,Marine fishes not identified,capture_production,tonnes,FAO (2019),44
ABW,2017,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),65
ABW,2017,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),40
AGO,2000,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),658
AGO,2000,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),800
AGO,2000,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),592
AGO,2000,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),108211
AGO,2000,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),0
AGO,2000,Marine fishes not identified,capture_production,tonnes,FAO (2019),30788
AGO,2000,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),29473
AGO,2000,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),2205
AGO,2000,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),55078
AGO,2000,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),750
AGO,2000,"Shrimps, prawns",capture_production,tonnes,FAO (2019),2754
AGO,2000,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),442
AGO,2000,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),600
AGO,2001,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),1863
AGO,2001,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),836
AGO,2001,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),1928
AGO,2001,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),57896
AGO,2001,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),1062
AGO,2001,Marine fishes not identified,capture_production,tonnes,FAO (2019),80741
AGO,2001,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),48934
AGO,2001,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),1303
AGO,2001,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),41739
AGO,2001,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),4784
AGO,2001,"Shrimps, prawns",capture_production,tonnes,FAO (2019),2860
AGO,2001,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),292
AGO,2001,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),2315
AGO,2002,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),3225
AGO,2002,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),1400
AGO,2002,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),3463
AGO,2002,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),28513
AGO,2002,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),1000
AGO,2002,Marine fishes not identified,capture_production,tonnes,FAO (2019),78560
AGO,2002,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),65133
AGO,2002,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),8640
AGO,2002,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),43563
