parameter,source,atlantic_e,atlantic_w,indian,pacific_e,pacific_w,polar
phi,Thorson et al. 2012,0.188,0.188,0.188,0.188,0.188,0.188
MSY,Costello et al. 2016,19283330,7864615,7940931,26228132,36368542,518854
K,Costello et al. 2016,185119968,75500304,76232938,251790067,349138003,4980998
r,Costello et al. 2016,0.2604,0.2604,0.2604,0.2604,0.2604,0.2604
epsilon,Costello et al. 2016,-1.15,-1.15,-1.15,-1.15,-1.15,-1.15
beta,Costello et al. 2016,1.3,1.3,1.3,1.3,1.3,1.3
p0,Calculated,1599,1599,1599,1599,1599,1599
eta,Costello et al. 2016,0.1,0.1,0.1,0.1,0.1,0.1
omega,Calculated,0.001,0.001,0.001,0.001,0.001,0.001
delta,Calculated,3.99E+11,3.99E+11,3.99E+11,3.99E+11,3.99E+11,3.99E+11
b0,calculated,,,,,,
