Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition),Other
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition),Other
2021,biomass,Total,atlantic,117865930.1118792,118457244.9658257,0.005016842894169898,RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition),Other
2022,biomass,Total,atlantic,118880144.32200773,120331662.8784754,0.01220993265734919,RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition),Other
2023,biomass,Total,atlantic,119590408.41571634,121976248.54913467,0.019950096040518197,RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition),Other
2024,biomass,Total,atlantic,120079652.36662158,123362873.20479864,0.027342024843250535,RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition),Other
2025,biomass,Total,atlantic,120410877.75245254,124497827.71881774,0.0339417006391016,RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition),Other
2026,biomass,Total,atlantic,120630895.30557342,125405319.9376081,0.03957878800402209,RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition),Other
2027,biomass,Total,atlantic,120773847.73933369,126117145.2011051,0.04424217296863687,RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition),Other
2028,biomass,Total,atlantic,120864238.12634191,126666489.41365704,0.048006353055813876,RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition),Other
2029,biomass,Total,atlantic,120919391.64938578,127084485.25135945,0.05098515232238173,RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition),Other
