Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2065,biomass,Total,atlantic,120953879.04353744,127745628.3102666,0.05615156223542418,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2066,biomass,Total,atlantic,120953878.9674992,127745653.04140177,0.05615176736686183,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2067,biomass,Total,atlantic,120953878.9557163,127745675.13148743,0.056151950102052935,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2068,biomass,Total,atlantic,120953878.97444314,127745694.7846385,0.05615211242320247,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2069,biomass,Total,atlantic,120953879.00388306,127745712.2101582,0.056152256233610275,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2070,biomass,Total,atlantic,120953879.0331654,127745727.61542867,0.056152383342752986,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2071,biomass,Total,atlantic,120953879.05696902,127745741.20073816,0.056152495452999836,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2072,biomass,Total,atlantic,120953879.07329106,127745753.15575092,0.05615259414991039,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2073,biomass,Total,atlantic,120953879.08200254,127745763.65730646,0.05615268089665206,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
2074,biomass,Total,atlantic,120953879.08393691,127745772.86825195,0.0561527570323044,RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities),Other
