Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2021,biomass,Total,atlantic,117865412.39090128,117921427.77858686,4.752487311528398e-4,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2022,biomass,Total,atlantic,118878629.38387424,119015744.72854231,0.001153406170467465,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2023,biomass,Total,atlantic,119587656.03531702,119811943.83272891,0.0018755096039816304,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2024,biomass,Total,atlantic,120075674.31680661,120382602.12444565,0.0025561197918342474,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2025,biomass,Total,atlantic,120405871.42688125,120785829.86315247,0.0031556470774098204,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2026,biomass,Total,atlantic,120625159.86313137,121066851.35600092,0.0036616862798002593,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2027,biomass,Total,atlantic,120767711.86517924,121260061.91458397,0.004076835122572889,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2028,biomass,Total,atlantic,120858009.21877922,121391118.55456294,0.004411038533810998,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2029,biomass,Total,atlantic,120913326.33038379,121478837.30104609,0.004676994569788715,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2030,biomass,Total,atlantic,120945674.61258861,121536804.47755177,0.0048875651556507275,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2031,biomass,Total,atlantic,120963282.79431108,121574686.12902638,0.0050544538854401955,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2032,biomass,Total,atlantic,120971699.82790193,121599258.87744004,0.005187651743596978,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2033,biomass,Total,atlantic,120974602.30448112,121615201.93744692,0.005295323322109191,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2034,biomass,Total,atlantic,120974376.69006719,121625693.73998645,0.005383925652189287,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2035,biomass,Total,atlantic,120972533.47050591,121632853.88583633,0.005458432558093167,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2036,biomass,Total,atlantic,120969997.9021284,121638065.66353364,0.005522590501702325,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2037,biomass,Total,atlantic,120967311.4720636,121642208.14897943,0.005579165715952001,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2038,biomass,Total,atlantic,120964769.58329085,121645820.98657323,0.005630163275047186,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2039,biomass,Total,atlantic,120962514.25182368,121649219.78347939,0.005677011063329158,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2040,biomass,Total,atlantic,120960595.46116905,121652575.76216128,0.00572070845347629,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2041,biomass,Total,atlantic,120959010.96164739,121655969.88319606,0.005761942959087604,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2042,biomass,Total,atlantic,120957731.45209785,121659428.97030346,0.005801179550754901,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2043,biomass,Total,atlantic,120956716.00334316,121662949.31895158,0.0058387275956540705,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2044,biomass,Total,atlantic,120955921.08555618,121666511.72694075,0.005874790047540932,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2045,biomass,Total,atlantic,120955305.49525978,121670090.74113226,0.0059094989090866705,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2046,biomass,Total,atlantic,120954832.72674578,121673660.07711904,0.005942940303982618,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2047,biomass,Total,atlantic,120954471.81007674,121677195.56349126,0.005975171836137946,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2048,biomass,Total,atlantic,120954197.27863525,121680676.53038728,0.006006234327515607,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2049,biomass,Total,atlantic,120953988.6856778,121684086.25751302,0.006036159532799856,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2050,biomass,Total,atlantic,120953829.92681733,121687411.88494182,0.006064975028639769,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2051,biomass,Total,atlantic,120953708.51883075,121690644.04465705,0.006092707159215172,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2052,biomass,Total,atlantic,120953614.91689318,121693776.37263651,0.006119382676176236,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2053,biomass,Total,atlantic,120953541.90977398,121696804.99617198,0.006145029526728924,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2054,biomass,Total,atlantic,120953484.10698466,121699728.04886048,0.006169677106744231,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2055,biomass,Total,atlantic,120953437.5173665,121702545.23901135,0.006193356195745092,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2056,biomass,Total,atlantic,120953399.21108899,121705257.48094952,0.006216098718717164,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2057,biomass,Total,atlantic,120953367.05379446,121707866.58928551,0.00623793742885622,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2058,biomass,Total,atlantic,120953339.50089338,121710375.03121123,0.006258905570046301,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2059,biomass,Total,atlantic,120953315.44065258,121712785.72960992,0.006279036553818049,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2060,biomass,Total,atlantic,120953294.07601449,121715101.90913346,0.006298363669535186,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2061,biomass,Total,atlantic,120953274.83661683,121717326.97768664,0.0063169198362085935,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2062,biomass,Total,atlantic,120953257.31400213,121719464.43650836,0.006334737397911575,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2063,biomass,Total,atlantic,120953241.21439627,121721517.8129775,0.006351847960977021,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2064,biomass,Total,atlantic,120953226.3246353,121723490.6112323,0.00636828226912798,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2065,biomass,Total,atlantic,120953212.48782103,121725386.2765902,0.006384070111795683,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2066,biomass,Total,atlantic,120953199.5860984,121727208.1705461,0.006399240260665717,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2067,biomass,Total,atlantic,120953187.52859166,121728959.55380115,0.0064138204297105005,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2068,biomass,Total,atlantic,120953176.24303956,121730643.57532983,0.006427837254377208,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2069,biomass,Total,atlantic,120953165.67005527,121732263.26594473,0.006441316286129644,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2070,biomass,Total,atlantic,120953155.7592289,121733821.53517748,0.006454281999078955,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2071,biomass,Total,atlantic,120953146.46650979,121735321.17057627,0.006466757805949746,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2072,biomass,Total,atlantic,120953137.75246668,121736764.83874102,0.00647876608110863,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2073,biomass,Total,atlantic,120953129.5811431,121738155.0875856,0.006490328188787019,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2074,biomass,Total,atlantic,120953121.91931,121739494.34944609,0.006501464514993567,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2075,biomass,Total,atlantic,120953114.73598015,121740784.94475248,0.006512194501908281,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2076,biomass,Total,atlantic,120953108.00209142,121742029.08605456,0.006522536683798976,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2077,biomass,Total,atlantic,120953101.69029693,121743228.88224925,0.0065325087237155435,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2078,biomass,Total,atlantic,120953095.77482124,121744386.34289756,0.006542127450375273,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2079,biomass,Total,atlantic,120953090.23135632,121745503.3825508,0.006551408894793619,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2080,biomass,Total,atlantic,120953085.03698006,121746581.82502845,0.006560368326329037,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2019,price,Total,atlantic,1350.1688088039184,1350.1688088039184,0,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2020,price,Total,atlantic,1329.6503632479057,1332.216644360515,0.0019300420498066944,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2021,price,Total,atlantic,1314.699673874629,1318.4750593947012,0.002871671450975199,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2022,price,Total,atlantic,1303.9072902287603,1308.1099748570282,0.0032231468140120306,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2023,price,Total,atlantic,1296.1902039311644,1300.394635322758,0.0032436839738813495,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2024,price,Total,atlantic,1290.7261956377456,1294.7227503342745,0.003096361342967984,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2025,price,Total,atlantic,1286.8975906099827,1290.6033993560234,0.0028796454147405532,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2026,price,Total,atlantic,1284.2449024115094,1287.6478992064544,0.0026498036227786343,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2027,price,Total,atlantic,1282.4295441072798,1285.554039545709,0.0024363875994483845,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2028,price,Total,atlantic,1281.2043508187737,1284.0904550148684,0.00225264938746915,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2029,price,Total,atlantic,1280.3905992111052,1283.082449800804,0.0021023667241522504,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2030,price,Total,atlantic,1279.8603071176667,1282.3997935590332,0.0019841903270565774,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2031,price,Total,atlantic,1279.5227504004908,1281.9465788218192,0.0018943222545825947,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2032,price,Total,atlantic,1279.31429970745,1281.6530102685672,0.0018280969435361628,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2033,price,Total,atlantic,1279.1908372918813,1281.4688959537045,0.0017808591145368347,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
2034,price,Total,atlantic,1279.122155188042,1281.358578054002,0.0017484044482298257,RD/TN/RL/119 | RD/TN/RL/77/Rev.2,Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2),Overfished
