Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2021,biomass,Total,atlantic,117865930.1118792,118250996.91380101,0.003266989888904338,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2022,biomass,Total,atlantic,118880144.32200773,119828849.64997768,0.007980351415121255,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2023,biomass,Total,atlantic,119590408.41571634,121153770.68008445,0.013072639228169597,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2024,biomass,Total,atlantic,120079652.36662158,122235038.2251002,0.017949634396824347,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2025,biomass,Total,atlantic,120410877.75245254,123097684.29467142,0.0223136529885827,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2026,biomass,Total,atlantic,120630895.30557342,123773146.97302495,0.026048481688640435,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2027,biomass,Total,atlantic,120773847.73933369,124293679.31220858,0.029143988030187997,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2028,biomass,Total,atlantic,120864238.12634191,124689268.82631817,0.03164733224047531,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2029,biomass,Total,atlantic,120919391.64938578,124986180.76886253,0.03363223271308451,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2030,biomass,Total,atlantic,120951382.89916055,125206500.59447755,0.03518039722509475,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
2031,biomass,Total,atlantic,120968504.30918011,125368249.0667235,0.03637099410850114,RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition,Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition),Other
