"","Id","Name","Category","Year","Biomass","Catches"
"1","Ambitious Reform","All subsidies","Ambitious Reform",2050,34645629.0582137,2543047.25346889
"2","Ambitious Reform","All subsidies","Ambitious Reform",2080,34679670.6088125,2547164.50684279
"3","RD/TN/RL/104","EU - IUU (RD/TN/RL/104)","IUU",2050,13335.1430338621,5.24255183339119
"4","RD/TN/RL/104","EU - IUU (RD/TN/RL/104)","IUU",2080,13332.6042522788,12.2496740669012
"5","RD/TN/RL/112/Rev.1","EU and others - Overfishing and overcapacity (RD/TN/RL/112/Rev.1)","OFOC",2050,1645489.23717165,81534.5348080844
"6","RD/TN/RL/112/Rev.1","EU and others - Overfishing and overcapacity (RD/TN/RL/112/Rev.1)","OFOC",2080,1738962.20158905,84559.5808400512
"7","RD/TN/RL/113","Facilitator's text - IUU (RD/TN/RL/113)","IUU",2050,13335.1430338621,5.24255183339119
"8","RD/TN/RL/113","Facilitator's text - IUU (RD/TN/RL/113)","IUU",2080,13332.6042522788,12.2496740669012
"9","RD/TN/RL/119 | RD/TN/RL/77/Rev.2","Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2)","Overfished",2050,1465974.56111819,72245.5841740221
"10","RD/TN/RL/119 | RD/TN/RL/77/Rev.2","Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2)","Overfished",2080,1530332.40207577,71346.6638863087
"11","RD/TN/RL/119 | RD/TN/RL/79/Rev.1","Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/79/Rev.1)","Overfished",2050,4356002.65090841,331681.108475834
"12","RD/TN/RL/119 | RD/TN/RL/79/Rev.1","Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/79/Rev.1)","Overfished",2080,4663413.28862727,365268.700404376
"13","RD/TN/RL/121","Canada - Overfishing and overcapacity (RD/TN/RL/121)","OFOC",2050,11553231.8358687,135830.110065237
"14","RD/TN/RL/121","Canada - Overfishing and overcapacity (RD/TN/RL/121)","OFOC",2080,11871036.4092126,167533.415108591
"15","RD/TN/RL/124","Brazil - Formula (RD/TN/RL/124)","OFOC",2050,18717557.4456034,1747096.53924261
"16","RD/TN/RL/124","Brazil - Formula (RD/TN/RL/124)","OFOC",2080,18736024.0698634,1749290.96136892
"17","RD/TN/RL/125","LDC - Full text (RD/TN/RL/125)","Other",2050,4639035.24618322,74219.2412805706
"18","RD/TN/RL/125","LDC - Full text (RD/TN/RL/125)","Other",2080,4907484.33436555,85953.0403120816
"19","RD/TN/RL/126 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition)","Other",2050,6697421.01497364,384685.058114544
"20","RD/TN/RL/126 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition)","Other",2080,7009701.71312666,415296.529851988
"21","RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition)","Other",2050,21786488.6080309,1549980.87990808
"22","RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition)","Other",2080,21826294.9225249,1555750.86861403
"23","RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities)","Other",2050,21787429.4628508,1550096.66027172
"24","RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities)","Other",2080,21827684.8400261,1555929.9805079
