"","Id","Name","Category","Year","Biomass","Catches","Fishing Mortality","Revenue"
"30","RD/TN/RL/89/Rev.2","ACP - IUU (RD/TN/RL/89/Rev.2)","IUU",2080,3.67248018502921e-07,1.77375647911619e-07,-2.12308087554486e-07,2.25296269539186e-08
"31","RD/TN/RL/91","US and others - ABNJ (RD/TN/RL/91)","OFOC",2060,0.0466836783938781,0.00180011212843179,-0.0565495109773846,-3.85900418523805e-05
"32","RD/TN/RL/91","US and others - ABNJ (RD/TN/RL/91)","OFOC",2080,0.0470490868110998,0.00191362252302426,-0.0567652787334998,-2.44555688033693e-05
"33","RD/TN/RL/95","ACP - Overfished (RD/TN/RL/95)","Overfished",2060,0.0040009137520533,0.000485637156817078,-0.00247833827695862,6.16422853130118e-05
"34","RD/TN/RL/95","ACP - Overfished (RD/TN/RL/95)","Overfished",2080,0.00412282308954068,0.000477561925768155,-0.00255020223740047,6.0615778702516e-05
"35","RD/TN/RL/96","ACP - Overfishing and overcapacity (RD/TN/RL/96)","OFOC",2060,0.02447675924,0.00109214348941744,-0.0295647101057103,1.61155803078074e-05
"36","RD/TN/RL/96","ACP - Overfishing and overcapacity (RD/TN/RL/96)","OFOC",2080,0.0248638333642323,0.00115690149910479,-0.029794802959448,2.42370791470351e-05
"37","RD/TN/RL/96 Rev.1","ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1)","OFOC",2060,0.0499397442596573,0.0150533096541369,-0.0349136743052674,0.00190278719412672
"38","RD/TN/RL/96 Rev.1","ACP - Overfishing and overcapacity (revised) (RD/TN/RL/96 Rev.1)","OFOC",2080,0.0499985676139712,0.0150621084115472,-0.0349361082308593,0.00190391100411524
"39","TN/RL/GEN/199","China - Cap (TN/RL/GEN/199)","OFOC",2060,0.015864398973926,0.00418938028822031,-0.0123576342070757,0.000538700079848255
"40","TN/RL/GEN/199","China - Cap (TN/RL/GEN/199)","OFOC",2080,0.0159506667628345,0.00421659692832146,-0.0124063314571942,0.000542125785992257
"41","TN/RL/GEN/200/Rev.1","India - S&DT (TN/RL/GEN/200/Rev.1)","Other",2060,0.030763094979835,0.00307677102729264,-0.0197656078572337,0.0003870986161575
"42","TN/RL/GEN/200/Rev.1","India - S&DT (TN/RL/GEN/200/Rev.1)","Other",2080,0.031371743469697,0.00326655625862739,-0.0200578664232483,0.000410927987845459
"43","TN/RL/GEN/202","Philippines - Disputed waters (TN/RL/GEN/202)","Other",2060,0.00213571854130353,-0.000182272675169141,-0.0013993079593278,-2.31077995159005e-05
"44","TN/RL/GEN/202","Philippines - Disputed waters (TN/RL/GEN/202)","Other",2080,0.00214954000022391,-0.000174584936320329,-0.00140608192562447,-2.21315465210897e-05
