Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2021,biomass,Total,atlantic,117865930.1118792,118457099.04273571,0.005015604851167502,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2022,biomass,Total,atlantic,118880144.32200773,120331283.66709442,0.012206742794288912,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2023,biomass,Total,atlantic,119590408.41571634,121975588.31992055,0.01994457528661441,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2024,biomass,Total,atlantic,120079652.36662158,123361910.94405317,0.027334011322837203,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2025,biomass,Total,atlantic,120410877.75245254,124496559.70621139,0.033931169924352064,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2026,biomass,Total,atlantic,120630895.30557342,125403752.84274909,0.039565797178951666,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2027,biomass,Total,atlantic,120773847.73933369,126115291.17567685,0.044226821752599996,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2028,biomass,Total,atlantic,120864238.12634191,126664362.77324694,0.04798875777334602,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2029,biomass,Total,atlantic,120919391.64938578,127082100.38014853,0.050965429503912446,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2030,biomass,Total,atlantic,120951382.89916055,127395919.47301617,0.05328204125808595,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2031,biomass,Total,atlantic,120968504.30918011,127628955.04395008,0.0550593790739671,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2032,biomass,Total,atlantic,120976361.88391356,127800131.90506753,0.05640581279590737,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
2033,biomass,Total,atlantic,120978679.07409057,127924563.30752487,0.05741411864135547,RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities),Other
