Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2021,biomass,Total,atlantic,117865003.98563941,118082753.86680366,0.0018474515233612792,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2022,biomass,Total,atlantic,118877482.83631375,119411005.18773204,0.004488001753476818,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2023,biomass,Total,atlantic,119585669.21541363,120459875.11173488,0.007310289786868324,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2024,biomass,Total,atlantic,120072955.93827805,121271852.78359887,0.009984736662409628,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2025,biomass,Total,atlantic,120402664.28483364,121890440.53620511,0.012356672173398732,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2026,biomass,Total,atlantic,120621759.48905456,122355754.67342766,0.014375475799044711,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2027,biomass,Total,atlantic,120764403.8432925,122702479.98273692,0.016048405637470096,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2028,biomass,Total,atlantic,120855030.55967516,122959288.2983908,0.017411420351895236,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2029,biomass,Total,atlantic,120910847.94565275,123149092.4905053,0.018511527980174206,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2030,biomass,Total,atlantic,120943799.09264386,123289716.10800315,0.019396753144510594,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2031,biomass,Total,atlantic,120962051.64178838,123394715.77777453,0.020110969539357124,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2032,biomass,Total,atlantic,120971105.40598983,123474204.13612048,0.02069170750924392,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
