uaid,spid,SciName,CommName,SpeciesCat,VonBertK,Temp,area,MaxLength,AgeMat,pcat,mind
1207,2485,Scomberomorus tritor,West African Spanish mackerel,36,0.317999989,NaN,2356,100,NaN,3,1
10476,2491,Auxis thazard,Frigate tuna,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3487,2493,Euthynnus lineatus,Black skipjack,36,NaN,NaN,2805,84,NaN,3,0
166,2494,Katsuwonus pelamis,Skipjack tuna,36,0.639093021,22.34999991,39600,110,3,3,0
795,2495,Thunnus tonggol,Longtail tuna,36,0.324000001,NaN,9360,144.9832001,NaN,4,10
784,2496,Thunnus alalunga,Albacore,36,0.190363637,17.35000038,37800,140,5.25,3,0
262,2497,Thunnus albacares,Yellowfin tuna,36,0.365473684,23,34920,239,NaN,3,1
792,2498,Thunnus obesus,Bigeye tuna,36,0.189999998,21,31680,250,NaN,4,0
476,2499,Istiophorus albicans,Atlantic sailfish,36,0.249666666,24.5,12648,315,3.5,3,0
4150,2500,Makaira indica,Black marlin,36,0.474000007,22.5,24843,465,NaN,4,0
780,2501,Tetrapturus audax,Striped marlin,36,0.437500006,22.5,25296,420,2,4,0
154,2503,Xiphias gladius,Swordfish,36,0.180571427,16,39960,455,5,4,0
3233,2504,Stromateus fiatola,Blue butterfish,37,NaN,NaN,4428,50,NaN,2,10
6364,2505,Pampus argenteus,Silver pomfret,37,0.52249999,NaN,5320,60,NaN,3,5
2469,2507,Ariomma indica,Indian driftfish,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
759,2508,Seriolella spp,Warehou nei,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10725,2509,Seriolella brama,Common warehou,34,0.224333336,NaN,NaN,76,3,3,22
10726,2511,Seriolella caerulea,White warehou,34,NaN,NaN,NaN,65,NaN,3,1
1576,2517,Gobiidae,Gobies nei,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
749,2521,Scorpaenidae,Scorpionfishes nei,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1023,2522,Sebastes spp,Atlantic redfishes nei,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18881,2523,Sebastes entomelas,Widow rockfish,34,NaN,NaN,NaN,60,5.333333333,1,0
18888,2524,Sebastes paucispinis,Bocaccio rockfish,34,0.119999997,NaN,NaN,91,3.666666667,1,0
18885,2526,Sebastes goodei,Chilipepper rockfish,34,0.24000001,NaN,NaN,56,3,1,0
12681,2527,Scorpaena scrofa,Red scorpionfish,34,0.081,NaN,5890,50,NaN,1,20
351,2528,Helicolenus dactylopterus,Blackbelly rosefish,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3262,2530,Chelidonichthys lucerna,Tub gurnard,34,0.289625,16,3420,75,NaN,2,20
980,2532,Eutrigla gurnardus,Grey gurnard,34,0.549999997,NaN,3350,60,3,3,10
965,2533,Aspitrigla cuculus,Red gurnard,34,0.488874998,NaN,3060,50,2,4,15
7605,2534,Pleurogrammus azonus,Okhotsk atka mackerel,33,NaN,NaN,1204,62,2,2,0
6537,2535,Platycephalus indicus,Bartail flathead,33,0.340000004,NaN,NaN,100,NaN,4,20
3271,2537,Cyclopterus lumpus,Lumpfish(=Lumpsucker),34,0.119999997,NaN,6912,61,3,1,0
405,2540,Paralichthys spp,Bastard halibuts nei,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,2542,Hippoglossus stenolepis,Pacific halibut,31,0.062599999,NaN,3069,258,13,4,0
7607,2543,Pleuronectes quadrituberculat.,Alaska plaice,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1923,2544,Reinhardtius hippoglossoides,Greenland halibut,31,0.077142859,1.5,16560,80,9.566666762,2,1
18529,2545,Glyptocephalus zachirus,Rex sole,31,0.176349998,NaN,NaN,60,6,3,0
18489,2546,Eopsetta jordani,Petrale sole,31,0.163499996,NaN,NaN,53,7.333333333,2,0
7357,2547,Hippoglossoides elassodon,Flathead sole,31,NaN,NaN,3806,52,1,1,0
1867,2548,Limanda ferruginea,Yellowtail flounder,31,0.335000008,NaN,NaN,64,4.058571398,4,27
18658,2549,Microstomus pacificus,Dover sole,31,0.144666664,NaN,NaN,76,7,2,10
56,2550,Platichthys flesus,European flounder,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1920,2551,Pseudopleuronectes americanus,Winter flounder,31,0.387062497,NaN,NaN,64,2.816666643,4,5
2690,2552,Soleidae,Soles nei,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2057,2553,Solea lascaris,Sand sole,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10221,2554,Austroglossus microlepis,West coast sole,31,NaN,NaN,NaN,75,NaN,3,100
14648,2555,Austroglossus pectoralis,Mud sole,31,0.356999994,NaN,NaN,60,NaN,2,10
4446,2556,Microchirus spp,Thickback soles nei,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1769,2557,Cynoglossidae,Tonguefishes,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7120,2558,Scophthalmidae,Turbots nei,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15228,2559,Lepidorhombus spp,Megrims nei,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
985,2560,Lepidorhombus whiffiagonis,Megrim,31,0.100599997,NaN,2752,60,3.5,4,100
1022,2562,Scophthalmus rhombus,Brill,31,0.440499999,NaN,2546,75,NaN,4,5
1010,2563,Psetta maxima,Turbot,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3401,2565,Balistidae,"Triggerfishes, durgons nei",33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2251,2566,Cantherhines(=Navodon) spp,Filefishes nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8530,2567,Stephanolepis cirrhifer,Threadsail filefish,33,NaN,NaN,NaN,30,NaN,1,NaN
18913,2568,Sphoeroides maculatus,Northern puffer,33,0.613499999,NaN,NaN,36,NaN,1,10
10254,2572,Lophius vomerinus,Devil anglerfish,34,0.086666666,NaN,5394,100,NaN,1,150
5176,2573,Osteichthyes,Pelagic fishes nei,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
204,2575,Elasmobranchii,"Sharks, rays, skates, etc. nei",38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2788,2582,"Xiphopenaeus,Trachypenaeus spp",Pacific seabobs,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
677,2583,Penaeus merguiensis,Banana prawn,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7580,2584,Penaeus japonicus,Kuruma prawn,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2356,2586,Penaeus chinensis,Fleshy prawn,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5499,2587,Penaeus kerathurus,Caramote prawn,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16209,2590,Penaeus penicillatus,Redtail prawn,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
626,2594,Metapenaeus endeavouri,Endeavour shrimp,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8290,2595,Metapenaeus joyneri,Shiba shrimp,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
132,2598,Parapenaeus longirostris,Deep-water rose shrimp,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11353,2599,Parapenaeopsis spp,Parapenaeopsis shrimps nei,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1466,2600,Xiphopenaeus kroyeri,Atlantic seabob,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
305,2601,Artemesia longinaris,Argentine stiletto shrimp,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
189,2603,Aristeus varidens,Striped red shrimp,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1906,2604,Pandalus spp,Pandalus shrimps nei,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2135,2605,Heterocarpus reedi,Chilean nylon shrimp,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3322,2607,Palaemon serratus,Common prawn,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18448,2609,Crangonidae,Crangonid shrimps nei,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18909,2610,Sicyonia brevirostris,Rock shrimp,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18793,2611,Pleoticus robustus,Royal red shrimp,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5086,2612,Haliporoides triarthrus,Knife shrimp,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3091,2613,Reptantia,Lobsters nei,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7569,2614,Panulirus longipes,Longlegged spiny lobster,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN
667,2616,Panulirus cygnus,Australian spiny lobster,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN
588,2617,Jasus verreauxi,Green rock lobster,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4519,2618,Palinurus mauritanicus,Pink spiny lobster,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14780,2619,Palinurus delagoae,Natal spiny lobster,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN
968,2627,Cancer pagurus,Edible crab,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
845,2628,Menippe mercenaria,Black stone crab,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
708,2629,Portunus pelagicus,Blue swimming crab,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2364,2630,Portunus trituberculatus,Gazami crab,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2889,2632,Callinectes sapidus,Blue crab,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1288,2633,Callinectes danae,Dana swimcrab,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4282,2635,Carcinus maenas,Green crab,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4281,2636,Carcinus aestuarii,Mediterranean shore crab,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4166,2637,Scylla serrata,Indo-Pacific swamp crab,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7575,2640,Paralithodes spp,King crabs,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1826,2644,Chionoecetes opilio,Queen crab,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120,2647,Nephrops norvegicus,Norway lobster,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015,2648,Homarus gammarus,European lobster,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18420,2649,Chaceon quinquedens,Red crab,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
158,2650,Brachyura,Marine crabs nei,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1852,2651,Haliotis spp,Abalones nei,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14708,2653,Haliotis midae,Perlemoen abalone,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN
557,2655,Ex Trochus spp,Trochus shells,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7853,2656,Turbo cornutus,Horned turban,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676,2658,Rapana spp,Sea snails,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN
967,2659,Buccinum undatum,Whelk,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1868,2660,Littorina spp,Periwinkles nei,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4124,2663,Anadara spp,Anadara clams nei,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1835,2669,Crassostrea virginica,American cupped oyster,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11702,2673,Crassostrea iredalei,Slipper cupped oyster,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN
672,2678,Pectinidae,Scallops nei,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7579,2679,Patinopecten yessoensis,Yesso scallop,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10689,2681,Pecten novaezelandiae,New Zealand scallop,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18339,2682,Argopecten gibbus,Calico scallop,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9726,2683,Argopecten ventricosus,Pacific calico scallop,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1827,2684,Chlamys islandica,Iceland scallop,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1371,2686,Mytilidae,Sea mussels nei,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8314,2687,Mytilus coruscus,Korean mussel,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1886,2688,Mytilus edulis,Blue mussel,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
639,2689,Mytilus planulatus,Australian mussel,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2098,2690,Choromytilus chorus,Choro mussel,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11764,2691,Perna viridis,Green mussel,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8057,2693,Cardiidae,Cockles nei,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1940,2696,Spisula polynyma,Stimpson's surf clam,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4295,2697,Chamelea gallina,Striped venus,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6331,2698,Meretrix spp,Hard clams nei,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932,2701,Saxidomus giganteus,Butter clam,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2209,2703,Protothaca thaca,Taca clam,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6768,2705,Solen spp,Solen razor clams nei,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,2711,Sepia officinalis,Common cuttlefish,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,2712,Loligo spp,Common squids nei,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN
359,2713,Loligo gahi,Patagonian squid,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6996,2714,Loligo pealeii,Longfin squid,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14735,2715,Loligo reynaudi,Cape Hope squid,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7523,2719,Ommastrephes bartrami,Neon flying squid,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1860,2720,Illex illecebrosus,Northern shortfin squid,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9778,2721,Dosidicus gigas,Jumbo flying squid,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1820,2725,Bivalvia,"Clams, etc. nei",56,NaN,NaN,NaN,NaN,NaN,NaN,NaN
842,2726,Ex Mollusca,Marine shells nei,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1904,2727,"Otariidae, Phocidae",Seals nei,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18156,2730,Phoca vitulina,Harbour seal,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13546,2731,Phoca fasciata,Ribbon seal,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13553,2732,Phoca largha,Larga seal,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1839,2733,Cystophora cristata,Hooded seal,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7231,2735,Berardius bairdii,Baird's beaked whale,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
537,2737,Delphinus delphis,Common dolphin,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7348,2738,Grampus griseus,Risso's dolphin,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5190,2740,Phocoena phocoena,Harbour porpoise,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5580,2741,Delphinapterus leucas,White whale,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5601,2742,Monodon monoceros,Narwhal,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1275,2743,Balaenoptera acutorostrata,Minke whale,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN
311,2744,Balaenoptera musculus,Blue whale,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7461,2745,Megaptera novaeangliae,Humpback whale,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2892,2748,Caretta caretta,Loggerhead turtle,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN
853,2757,Spongiidae,Sponges,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2377,2758,Rhopilema spp,Jellyfishes,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4164,2760,Scleractinia,"Hard corals, madrepores nei",82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7269,2762,Corallium japonicum,Aka coral,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8401,2765,Polychaeta,Marine worms,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4746,2766,Echinodermata,Echinoderms,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4526,2768,Paracentrotus lividus,Stony sea urchin,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14798,2771,Pyura stolonifera,Red bait,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2211,2772,Pyura chilensis,Red sea squirt,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16332,2775,Ulva pertusa,Lacy sea lettuce,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7400,2776,Laminaria japonica,Japanese kelp,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7855,2777,Undaria pinnatifida,Wakame,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2147,2779,Lessonia nigrescens,Chilean kelp,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2115,2781,Durvillaea antartica,Bull kelp,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18431,2788,Chondrus crispus,Carragheen (Irish) moss,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16215,2790,Porphyra tenera,Laver (Nori),92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2124,2792,Gelidium spp,Gelidium seaweeds,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17275,2793,Zostera marina,Eel-grass,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1267,2795,Alopias superciliosus,Bigeye thresher,38,0.09,NaN,30960,487.9848022,7.69999981,1,0
3291,2798,Lamna nasus,Porbeagle,38,0.085666665,10,48600,350,13.5,2,0
12333,2803,Galeus melastomus,Blackmouth catshark,38,NaN,NaN,2750,75,NaN,3,55
15593,2804,Scyliorhinus spp,"Catsharks, nursehounds nei",38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4631,2805,Scyliorhinus stellaris,Nursehound,38,NaN,NaN,2808,170,NaN,2,1
2650,2806,Carcharhinidae,Requiem sharks nei,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16677,2808,Carcharhinus limbatus,Blacktip shark,38,0.216249999,NaN,27971,275,7,2,0
10728,2822,Sphyrna zygaena,Smooth hammerhead,38,NaN,NaN,41040,500,NaN,1,0
381,2826,Mustelus schmitti,Narrownose smooth-hound,38,NaN,NaN,340,92,NaN,2,60
347,2828,Galeorhinus galeus,Tope shark,38,0.145199998,NaN,9472,193,NaN,2,0
2866,2831,Squalidae,Dogfish sharks nei,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1028,2832,"Squalidae, Scyliorhinidae",Dogfishes and hounds nei,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1029,2834,Squalus acanthias,Picked dogfish,38,0.123999999,11,8643,160,8.820000076,2,0
9520,2835,Centrophorus granulosus,Gulper shark,38,NaN,NaN,23876,160,NaN,3,50
10578,2841,Deania calcea,Birdbeak dogfish,38,0.106000003,NaN,40680,122,25,2,60
83,2842,Squatinidae,"Angelsharks, sand devils nei",38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12535,2843,Oxynotus centrina,Angular roughshark,38,NaN,NaN,5457,150,NaN,3,40
61,2845,Rajiformes,"Rays, stingrays, mantas nei",38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1414,2847,Rhinobatos percellens,Chola guitarfish,38,NaN,NaN,NaN,100,NaN,1,0
1016,2850,Raja spp,Raja rays nei,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4571,2851,Raja clavata,Thornback ray,38,0.140500001,NaN,6633,105,6.292000103,2,20
4575,2852,Raja montagui,Spotted ray,38,0.215600002,NaN,1935,80,5.183333397,2,20
4573,2854,Raja fullonica,Shagreen ray,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4576,2855,Raja naevus,Cuckoo ray,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4578,2856,Raja oxyrinchus,Longnosed skate,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10707,2859,Raja georgiana,Antarctic starry skate,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7289,2865,Dasyatis akajei,Whip stingray,38,NaN,NaN,NaN,200,NaN,2,10
12500,2866,Myliobatidae,Eagle rays nei,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4384,2870,Hydrolagus spp,Ratfishes nei,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10610,2871,Hydrolagus novaezealandiae,Dark ghost shark,38,NaN,NaN,NaN,96,NaN,3,25
14662,2874,Callorhinchus capensis,Cape elephantfish,38,0.111250002,NaN,NaN,122,3.749999881,1,10
16943,2877,Acipenser gueldenstaedtii,Danube sturgeon(=Osetr),21,0.041666667,15,728,236,10,NaN,1
9341,2881,Clupeoidei,Diadromous clupeoids nei,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11740,2882,Megalops cyprinoides,Indo-Pacific tarpon,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
970,2886,Clupea harengus,Atlantic herring,35,0.358015872,9.5,7003,45,3.464705888,1,0
4236,2887,Alosa spp,Shads nei,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1806,2889,Alosa sapidissima,American shad,24,0.38333333,NaN,7254,76,4.450000048,1,0
4234,2890,Alosa alosa,Allis shad,24,0.350999993,NaN,1599,83,3.5,1,5
8438,2891,Sardinella zunasi,Japanese sardinella,35,NaN,NaN,272,18,NaN,1,5
6421,2892,Sardinella lemuru,Bali sardinella,35,0.971923076,NaN,2627,23,NaN,1,15
2379,2893,Sardinops melanostictus,Japanese pilchard,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9905,2894,Sardinops caeruleus,California pilchard,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10282,2895,Sardinops ocellatus,Southern African pilchard,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9324,2897,Anodontostoma chacunda,Chacunda gizzard shad,24,1.084499985,NaN,6696,22,NaN,1,0
19012,2898,Brevoortia pectinata,Argentine menhaden,35,NaN,NaN,120,35,NaN,1,5
18379,2899,Brevoortia patronus,Gulf menhaden,35,0.413027774,NaN,180,35,NaN,1,0
6268,2900,Dussumieria acuta,Rainbow sardine,35,1.016666671,NaN,2926,20,NaN,1,10
3485,2902,Etrumeus teres,Red-eye round herring,35,0.631166662,NaN,24447,33,2.143333356,2,0
2929,2903,Harengula spp,Scaled sardines,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN
924,2904,Tenualosa ilisha,Hilsa shad,24,0.500666678,NaN,1595,60,NaN,3,NaN
6462,2905,Tenualosa toli,Toli shad,24,0.699999988,NaN,1470,60,0.629999995,1,10
3514,2906,Opisthonema libertate,Pacific thread herring,35,0.466199994,NaN,1054,30,NaN,2,NaN
1377,2907,Opisthonema oglinum,Atlantic thread herring,35,0.533999997,NaN,5070,38,1,1,5
7398,2908,Konosirus punctatus,Dotted gizzard shad,24,0.266000003,NaN,399,32,NaN,1,NaN
8071,2909,Clupanodon thrissa,Chinese gizzard shad,24,NaN,NaN,700,26,NaN,1,0
67,2910,Sardina pilchardus,European pilchard(=Sardine),35,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4142,2912,Herklotsichthys quadrimaculat.,Bluestripe herring,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2233,2913,Strangomera bentincki,Araucanian herring,35,0.589999989,NaN,12,28.38999939,NaN,1,0
2272,2915,Engraulis japonicus,Japanese anchovy,35,1.381500009,19,2115,18,1.5,1,0
343,2916,Engraulis anchoita,Argentine anchovy,35,0.256666668,NaN,957,17,NaN,2,30
2117,2917,Engraulis ringens,Anchoveta(=Peruvian anchovy),35,0.97909524,18,494,20,NaN,1,3
10237,2919,Engraulis capensis,Southern African anchovy,35,NaN,NaN,NaN,17,1,NaN,NaN
2520,2920,Cetengraulis mysticetus,Pacific anchoveta,35,1.977999997,NaN,1332,18,1,2,NaN
5958,2923,Alepocephalus bairdii,Baird's slickhead,34,NaN,NaN,4100,100,NaN,NaN,365
8179,2924,Ilisha elongata,Elongate ilisha,24,NaN,NaN,1400,60,NaN,1,5
9420,2925,Pellona ditchela,Indian pellona,24,0.674999997,NaN,5600,16,NaN,1,10
6094,2926,Chirocentrus spp,Wolf-herrings nei,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4221,2927,Salmonoidei,Salmonoids nei,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1926,2928,Salmo spp,Trouts nei,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3342,2929,Salmo salar,Atlantic salmon,23,0.363499999,5.5,4830,150,4.333333333,4,0
1891,2931,Oncorhynchus keta,Chum(=Keta=Dog)salmon,23,0.352499999,11.85000038,5160,100,2,2,0
7530,2932,Oncorhynchus masou,Masu(=Cherry) salmon,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1895,2933,Oncorhynchus tshawytscha,Chinook(=Spring=King)salmon,23,NaN,12.44999981,5175,150,4.066666603,4,0
1893,2934,Oncorhynchus mykiss,Rainbow trout,23,0.548333342,17,3780,120,2.5,1,0
1858,2937,Hypomesus pretiosus,Surf smelt,23,NaN,NaN,NaN,30.5,1.5,1,NaN
7345,2938,Glossanodon semifasciatus,Deep-sea smelt,34,0.73500003,NaN,816,21,NaN,4,70
4186,2939,Coregonus albula,Vendace,23,0.463714283,NaN,126,48,2,2,30
3265,2940,Coregonus lavaretus,European whitefish,23,0.351071427,10,NaN,73,3.5,3,NaN
3277,2942,Esox lucius,Northern pike,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6114,2949,Harpadon nehereus,Bombay-duck,33,0.748142847,NaN,4859,40,NaN,1,50
5051,2955,Cyprinidae,Cyprinids nei,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4979,2956,Abramis spp,Freshwater breams nei,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13610,2960,Rutilus spp,Roaches nei,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6423,2984,Saurida tumbil,Greater lizardfish,33,0.448499997,NaN,7995,60,NaN,4,10
6889,2985,Saurida undosquamis,Brushtooth lizardfish,33,0.91410345,NaN,10780,50,1.449999988,4,1
10527,2987,Anguilla spp,River eels nei,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1810,2989,Anguilla rostrata,American eel,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12493,2990,Muraenidae,Morays,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2482,2991,Muraenesox spp,Pike-congers nei,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1768,2993,Congridae,"Conger eels, etc. nei",34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009,2994,Conger conger,European conger,34,0.115000004,NaN,4144,300,5,2,0
331,2995,Conger orbignyanus,Argentine conger,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
