uaid,spid,SciName,CommName,SpeciesCat,VonBertK,Temp,area,MaxLength,AgeMat,pcat,mind
105,2106,Engraulis encrasicolus,European anchovy,35,0.638842107,NaN,5940,20,1,2,0
9785,2107,Engraulis mordax,Californian anchovy,35,0.418514284,NaN,690,24.79999924,1.25,1,0
19254,2108,Cetengraulis edentulus,Atlantic anchoveta,35,0.166666667,NaN,2703,16.60000038,NaN,2,10
2499,2110,Stolephorus spp,Stolephorus anchovies nei,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1173,2112,Ilisha africana,West African ilisha,24,1.374999985,NaN,744,30,NaN,3,0
11325,2113,Chirocentrus dorab,Dorab wolf-herring,35,NaN,NaN,6380,100,NaN,2,NaN
3712,2114,Chanos chanos,Milkfish,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3909,2115,Salmo trutta,Sea trout,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1890,2116,Oncorhynchus gorbuscha,Pink(=Humpback)salmon,23,NaN,21,12050,76,2,1,0
1894,2117,Oncorhynchus nerka,Sockeye(=Red)salmon,23,0.476999998,12.44999981,3630,84,2,4,0
1892,2118,Oncorhynchus kisutch,Coho(=Silver)salmon,23,NaN,12.39999962,6300,107.9499969,3,2,0
1929,2119,Salvelinus spp,Chars nei,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5630,2120,Salvelinus alpinus,Arctic char,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13493,2125,"Osmerus spp, Hypomesus spp",Smelts nei,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1871,2126,Mallotus villosus,Capelin,37,0.460599994,NaN,14040,20,2.285714286,1,0
3314,2127,Osmerus eperlanus,European smelt,23,0.411333335,NaN,1728,45,2,4,NaN
1898,2128,Osmerus mordax,Rainbow smelt,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2881,2131,Argentina spp,Argentines,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8715,2132,Coregonus spp,Whitefishes nei,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3242,2153,Abramis brama,Freshwater bream,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3363,2154,Tinca tinca,Tench,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11876,2156,Carassius carassius,Crucian carp,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3340,2157,Rutilus rutilus,Roach,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3832,2160,Leuciscus idus,Orfe(=Ide),11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13536,2170,Pelecus cultratus,Sichel,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
304,2181,Ariidae,Sea catfishes nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16505,2183,Plotosus spp,Eeltail catfishes,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2501,2199,Synodontidae,Lizardfishes nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3247,2203,Anguilla anguilla,European eel,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
485,2204,Anguilla australis,Short-finned eel,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
