Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2021,biomass,Total,atlantic,117868140.05329402,118045334.64921728,0.0015033290237984702,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2022,biomass,Total,atlantic,118889168.99300832,119328353.02771683,0.003694062616707688,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2023,biomass,Total,atlantic,119611850.42275691,120343574.53684796,0.0061174884554067435,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2024,biomass,Total,atlantic,120118712.56805542,121143369.48309909,0.008530368775498898,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2025,biomass,Total,atlantic,120471463.01553212,121774038.69113463,0.010812317232626056,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2026,biomass,Total,atlantic,120715263.6986654,122273984.46088901,0.012912375075570904,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2027,biomass,Total,atlantic,120882648.5220845,122673784.86289579,0.01481715004353212,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2028,biomass,Total,atlantic,120996778.29351303,122997132.33252768,0.016532291745505894,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2029,biomass,Total,atlantic,121073993.41186395,123262052.55802552,0.01807208207561414,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2030,biomass,Total,atlantic,121125742.52953039,123482102.20662463,0.019453830605164354,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2031,biomass,Total,atlantic,121160003.15722878,123667412.58422363,0.020695026094882083,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2032,biomass,Total,atlantic,121182309.44651034,123825539.7620849,0.021812014704516533,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2033,biomass,Total,atlantic,121196486.19255728,123962128.26096529,0.02281949052560776,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2034,biomass,Total,atlantic,121205168.04374354,124081414.72642629,0.02373039639402753,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2035,biomass,Total,atlantic,121210164.15030706,124186602.88748623,0.024556016057269193,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2036,biomass,Total,atlantic,121212712.8675097,124280139.09461164,0.025306142850335927,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2037,biomass,Total,atlantic,121213658.91177735,124363913.11360192,0.02598926746462969,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2038,biomass,Total,atlantic,121213576.16920127,124439403.75449693,0.026612758135217046,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2039,biomass,Total,atlantic,121212852.60048237,124507784.2955371,0.02718302246309491,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2040,biomass,Total,atlantic,121211748.81057286,124569998.84890166,0.027705647936628636,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2041,biomass,Total,atlantic,121210438.37497981,124626817.83158629,0.02818552182805804,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2042,biomass,Total,atlantic,121209035.5583826,124678878.44923194,0.028626932595120124,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2043,biomass,Total,atlantic,121207614.33719715,124726714.43417057,0.029033655321218956,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2044,biomass,Total,atlantic,121206221.43382749,124770778.06698516,0.029409023653985778,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2045,biomass,Total,atlantic,121204885.23295505,124811456.63915789,0.02975599043942024,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2046,biomass,Total,atlantic,121203621.86954434,124849084.89210361,0.030077178935155983,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2047,biomass,Total,atlantic,121202439.37656938,124883954.52585953,0.030374926183225508,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2048,biomass,Total,atlantic,121201340.50315394,124916321.55762431,0.03065131985379075,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2049,biomass,Total,atlantic,121200324.62267123,124946412.08886072,0.030908229642552965,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2050,biomass,Total,atlantic,121199389.01876402,124974426.88296574,0.031147334114178377,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2051,biomass,Total,atlantic,121198529.74676345,125000545.0444672,0.031370143727385225,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2052,biomass,Total,atlantic,121197742.20582259,125024927.01181646,0.031578020649051367,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2053,biomass,Total,atlantic,121197021.51440737,125047717.01959562,0.031772195859866924,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2054,biomass,Total,atlantic,121196362.75251625,125069045.14565794,0.03195378396833352,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2055,biomass,Total,atlantic,121195761.11393097,125089029.02968799,0.03212379607977477,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2056,biomass,Total,atlantic,121195211.9980517,125107775.32861179,0.0322831510094886,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2057,biomass,Total,atlantic,121194711.06145674,125125380.9589006,0.032432685081865115,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2058,biomass,Total,atlantic,121194254.24288344,125141934.16447487,0.032573160718328685,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2059,biomass,Total,atlantic,121193837.77092317,125157515.44048557,0.032705273984758365,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2060,biomass,Total,atlantic,121193458.16071272,125172198.33691943,0.03282966124236313,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2061,biomass,Total,atlantic,121193112.20385113,125186050.1611739,0.03294690502383087,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2062,biomass,Total,atlantic,121192796.95436984,125199132.59506658,0.03305753923812118,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2063,biomass,Total,atlantic,121192509.71263212,125211502.23889263,0.03316205379185743,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2064,biomass,Total,atlantic,121192248.00838947,125223211.09291011,0.03326089870237902,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2065,biomass,Total,atlantic,121192009.58378586,125234306.98486704,0.033354487766675246,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2066,biomass,Total,atlantic,121191792.37680396,125244833.95077147,0.03344320184130927,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2067,biomass,Total,atlantic,121191594.50545028,125254832.57496735,0.033527391780742204,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2068,biomass,Total,atlantic,121191414.25284302,125264340.29465124,0.03360738107495656,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2069,biomass,Total,atlantic,121191250.05328117,125273391.67320395,0.03368346822174107,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2070,biomass,Total,atlantic,121191100.47931467,125282018.64608237,0.03375592886431421,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2071,biomass,Total,atlantic,121190964.22980167,125290250.74249178,0.033825017720933936,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2072,biomass,Total,atlantic,121190840.11891584,125298115.28562057,0.03389097032972588,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
2073,biomass,Total,atlantic,121190727.06605408,125305637.57384798,0.03395400462901013,RD/TN/RL/126/Rev.2 | Objective Definition,Chair's text - Consolidated text (Dec 2020) [Objective Definition],Other & Multiple
