country,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016
China,8759162,9213340,8389161,9013173,9294988,9226177,9238837,9165990,9484457,8795228
Indonesia,2463237,3104861,2590364,2620277,2755178,2748908,2640095,2667440,2702664,2601638
India,6100000,6800000,9231996,9632192,8397613,8777999,9790197,,,
USA,288000,286000,284000,282000,186726,175565,198647,185263,164047,
Russian Fed,300000,315000,280100,190000,165000,137000,137000,137000,,
Peru,60030,87524,86755,94000,,,,99845,,
Japan,301440,260200,222170,202880,177870,173660,180985,173040,166610,160020
Viet Nam,415000,555800,580000,650000,500000,530000,,,,
Myanmar,900000,2646710,2794000,2948555,2952800,2979200,2980000,2981000,2999500,
Norway,23653,20072,14554,12993,12768,12048,11611,11316,11130,11249
Philippines,1421715,1497000,1901000,1907435,1907435,,,,,
Bangladesh,1320480,1320480,1320480,1506064,1506064,1506064,1538539,1712000,1726210,1726270
Malaysia,82200,87000,95000,129622,134110,136514,144019,143421,145947,137461
Thailand,157377,157232,187300,155000,160000,,,,,
Mexico,249541,244131,255527,240855,222744,210247,216267,214669,238590,237995
Chile,58177,50873,57013,81157,85268,88893,91395,91632,94179,97362
Morocco,99885,106096,105701,107296,104483,114185,103453,109564,105072,107973
Korea Rep,117712,99792,101115,80538,73918,,106356,103353,72365,61505
Iceland,7000,6100,5100,5300,5200,7900,5000,4500,4500,4500
Spain,75009,46189,39595,39281,35808,34399,33129,33121,32059,32508
Canada,75863,49927,49150,49526,49609,43250,45114,43562,42507,44342
Argentina,12100,13200,15549,15271,25650,21268,20884,28212,21073,20221
Taiwan,204149,216501,246580,246659,248838,238401,285063,244084,235569,229256
Nigeria,408500,1177308,1259040,1519627,1533112,1884139,1643226,1477651,1565358,1190497
Ecuador,10816,38500,69769,129405,,148178,,,65730,
Brazil,520000,580000,661100,853229,875669,877000,,,,
UK,19986,15649,12647,12703,12405,12445,12235,11845,12107,12125
Iran,104178,124108,147773,151025,151326,151773,151866,149062,141136,149366
Denmark,5055,4611,3241,1528,1460,1942,1891,1896,1330,1272
Cambodia,72040,132641,97238,673963,657269,,,,,
South Africa,,16800,,,,,,,,
Mauritania,32544,32544,,,,,,,,
Faroe Islands,2192,2357,2478,1769,1662,1585,1585,1585,1512,1491
Sri Lanka,,150150,156500,230560,246750,244390,250865,276537,278646,290167
Pakistan,389914,272273,311264,366862,361510,366877,378283,385497,406029,421252
France,20958,19080,,14457,14273,14273,13609,13547,13442,13437
Namibia,,9000,11000,26610,25447,25690,14823,16376,16510,
Angola,30364,39175,,,,100983,,,,
Senegal,51734,55547,57524,68299,69311,,62442,60594,53101,71177
New Zealand,,1928,1627,1426,1780,1432,1378,1328,1304,1246
Uganda,,57512,60313,91402,103417,109633,111069,115442,116213,118884
Netherlands,3756,3450,,2832,2837,2791,2695,2610,2564,2613
Tanzania,62593,92529,133282,179027,177565,184111,184300,183800,183894,203529
Egypt,37000,37300,37000,37600,37000,37200,37300,36300,39128,35940
Turkey,33614,50000,98787,54172,45204,41054,37499,36719,35821,36907
Ghana,220711,291360,,,,253826,,,,
Papua N Guin,11000,16000,16000,15800,,,,,,
Mozambique,,103000,127200,162200,169620,180073,201854,,,
Venezuela,41558,41558,41558,31214,66241,72404,62069,62069,63446,63446
Oman,35811,35811,35811,37758,41569,43225,45224,49592,47385,51028
Greenland,4700,1294,1403,1111,1111,1111,3400,3500,,
Germany,4646,4358,3727,2889,2684,2684,2569,2469,2419,2368
Congo Dem R,,108400,136765,,,367005,,440088,,
Cameroon,24136,41600,240728,240728,240728,240728,240728,240728,240728,240728
Ireland,7500,9592,5973,4579,6266,6284,4579,2461,3451,3612
Poland,10137,9197,4770,4124,4289,4331,4203,7336,4342,4324
Korea D P Rp,,119260,,,,,,,,
Sweden,3287,2783,1897,1641,1668,1638,1549,1481,1491,1442
Sierra Leone,17900,24000,54100,69500,,,,,,
