country,global_capture,percent_global_capture,exports,percent_exports,tier
China,13789343,0.173,20284446,0.1791,1
Indonesia,6183529,0.0776,3903311,0.0345,1
EU,5328002,0.0668,5393287,0.0476,1
US,4981511,0.0626,5567255,0.0491,1
Russian Federation,4410954,0.0553,3773155,0.0333,1
Peru ,4230066,0.0531,2475998,0.0219,1
India,3643852,0.0457,5339513,0.0471,1
Japan ,3235552,0.0406,1934193,0.0171,1
Vietnam,2953673,0.0371,7368243,0.065,1
Norway,2231643,0.028,10253491,0.0905,1
Philippines,1848794,0.0232,831562,0.0073,1
Chile ,1734146,0.0218,5269942,0.0465,1
Malaysia,1512608,0.019,753142,0.0066,1
"Korea, Republic of",1449522,0.0182,1615935,0.0143,1
Morocco,1381140,0.0173,2024426,0.0179,1
Mexico,1363052,0.0171,1077344,0.0095,1
Thailand,1316457,0.0165,6066735,0.0536,1
Myanmar,1185237,0.0149,505127,0.0045,1
Iceland,1183032,0.0148,2066497,0.0182,1
Chinese Taipei,828242,0.0104,1694865,0.015,1
Canada,821951,0.0103,4686099,0.0414,1
Argentina,781586,0.0098,1583733,0.014,1
Ecuador,668866,0.0084,3954002,0.0349,1
Bangladesh,621283,0.0078,535418,0.0047,1
Mauritania,587703,0.0074,549458,0.0049,1
South Africa,566080,0.0071,593469,0.0052,1
New Zealand ,427511,0.0054,1186250,0.0105,1
Australia,174765,0.0022,1068880,0.0094,1
Namibia,506132,0.0063,662818,0.0059,2
Brazil,478096,0.006,224322,0.002,2
Angola,469540,0.0059,73042,0.0006,2
Sri Lanka,436190,0.0055,209947,0.0019,2
Senegal,434181,0.0054,375539,0.0033,2
Nigeria,408587,0.0051,77319,0.0007,2
Pakistan,373354,0.0047,360798,0.0032,2
Turkey,340459,0.0043,729329,0.0064,2
Oman,294722,0.0037,154876,0.0014,2
Papua New Guinea,276184,0.0035,162305,0.0014,2
Ghana,261845,0.0033,65136,0.0006,2
"Venezuela, Bolivarian Rep. of",239715,0.003,32996,0.0003,2
Mozambique,209796,0.0026,48087,0.0004,2
Cameroon,200127,0.0025,1781,0,2
Sierra Leone,200000,0.0025,10462,0.0001,2
Yemen,155518,0.002,155031,0.0014,2
Panama,139081,0.0017,194922,0.0017,2
"Hong Kong, China",138507,0.0017,91376,0.0008,2
Maldives,133267,0.0017,139850,0.0012,2
Seychelles,122763,0.0015,430210,0.0038,2
Cambodia,120638,0.0015,59669,0.0005,2
Tunisia,113788,0.0014,156201,0.0014,2
