"","Id","Name","Category","Region","Change in biomass (%, 2080)","Change in catch (%, 2080)","Change in fishing mortality (%, 2080)","Change in revenue (%, 2080)"
"1","Ambitious Reform","All subsidies","Ambitious Reform","Atlantic Ocean",6.5,-2.35,-8.3,-0.31
"2","RD/TN/RL/87","IUU (Option A)","IUU","Atlantic Ocean",0.01,0,-0.02,0
"3","RD/TN/RL/104","IUU (Option B)","IUU","Atlantic Ocean",0.01,0,-0.02,0
"4","RD/TN/RL/113","Facilitator's working text - IUU","IUU","Atlantic Ocean",0.01,0,-0.01,0
"5","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU","Atlantic Ocean",0.01,0,-0.02,0
"6","RD/TN/RL/81","CAP - De minimis","OFOC","Atlantic Ocean",0.25,-0.08,-0.33,-0.01
"7","RD/TN/RL/79/Rev.1","OFOC - Negative effects (Option A)","OFOC","Atlantic Ocean",2.39,-0.8,-3.11,-0.1
"8","TN/RL/GEN/199","CAP - Optional criteria","OFOC","Atlantic Ocean",0.73,-0.23,-0.96,-0.03
"9","RD/TN/RL/91","OFOC - ABNJ","OFOC","Atlantic Ocean",3.72,-1.27,-4.82,-0.17
"10","RD/TN/RL/96/Rev.1","OFOC - List approach","OFOC","Atlantic Ocean",1.65,-0.54,-2.16,-0.07
"11","TN/RL/GEN/197/Rev.2","CAP - Tiers","OFOC","Atlantic Ocean",2.97,-0.98,-3.84,-0.13
"12","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC","Atlantic Ocean",5.42,-1.92,-6.96,-0.25
"13","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC","Atlantic Ocean",2.39,-0.8,-3.11,-0.1
"14","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC","Atlantic Ocean",2.7,-0.91,-3.51,-0.12
"15","RD/TN/RL/124","CAP - Formula","OFOC","Atlantic Ocean",3.54,-1.19,-4.57,-0.16
"16","RD/TN/RL/124/Rev.1","CAP - Formula (revised)","OFOC","Atlantic Ocean",3.41,-1.14,-4.4,-0.15
"17","RD/TN/RL/77/Rev.2","Overfished - Negative effects (Option A)","Overfished","Atlantic Ocean",1.06,-0.34,-1.39,-0.05
"18","RD/TN/RL/95","Overfished - Negative effects + rebuttable (Option B)","Overfished","Atlantic Ocean",0.85,-0.27,-1.11,-0.04
"19","RD/TN/RL/119/Rev.1 | Objective definition","Facilitator's text - Overfished [Objective definition]","Overfished","Atlantic Ocean",2.39,-0.8,-3.11,-0.1
"20","RD/TN/RL/119/Rev.1 | Relevant authorities","Facilitator's text - Overfished [Relevant authorities]","Overfished","Atlantic Ocean",1.06,-0.34,-1.39,-0.05
"21","TN/RL/GEN/202","Disputed waters","Other & Multiple","Atlantic Ocean",0.07,-0.03,-0.1,0
"22","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple","Atlantic Ocean",5.09,-1.8,-6.55,-0.24
"23","TN/RL/GEN/200/Rev.1","S&DT","Other & Multiple","Atlantic Ocean",4.39,-1.53,-5.67,-0.2
"24","RD/TN/RL/126/Rev.2 | Objective definition","Chair's text - Consolidated text (Dec 2020) [Objective definition]","Other & Multiple","Atlantic Ocean",3.42,-1.17,-4.44,-0.15
"25","RD/TN/RL/126/Rev.2 | Relevant authorities","Chair's text - Consolidated text (Dec 2020) [Relevant authorities]","Other & Multiple","Atlantic Ocean",3.38,-1.15,-4.38,-0.15
"26","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Optional criteria]","Other & Multiple","Atlantic Ocean",4.63,-1.59,-5.94,-0.21
"27","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Optional criteria]","Other & Multiple","Atlantic Ocean",4.62,-1.59,-5.93,-0.21
"28","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Tiers]","Other & Multiple","Atlantic Ocean",5.52,-1.94,-7.06,-0.25
"29","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers]","Other & Multiple","Atlantic Ocean",5.52,-1.94,-7.06,-0.25
"30","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - De minimis]","Other & Multiple","Atlantic Ocean",4.63,-1.59,-5.94,-0.21
"31","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis]","Other & Multiple","Atlantic Ocean",4.62,-1.59,-5.93,-0.21
"32","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Formula]","Other & Multiple","Atlantic Ocean",5.7,-2.01,-7.29,-0.26
"33","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Formula]","Other & Multiple","Atlantic Ocean",5.7,-2.01,-7.29,-0.26
"34","RD/TN/RL/136","Artisanal - Exemption","Other & Multiple","Atlantic Ocean",3.38,-1.15,-4.38,-0.15
"35","TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries","Chair's text - June 2021 [Full exemption + S&DT for all developing countries]","Other & Multiple","Atlantic Ocean",2.28,-0.76,-2.98,-0.1
"36","TN/RL/W/276/Rev.1 | Full exemption","Chair's text - June 2021 [Full exemption]","Other & Multiple","Atlantic Ocean",3.38,-1.15,-4.38,-0.15
"37","TN/RL/W/276/Rev.1 | Managed exemption","Chair's text - June 2021 [Managed exemption]","Other & Multiple","Atlantic Ocean",4.09,-1.41,-5.28,-0.18
"38","TN/RL/W/276/Rev.1 | Sustainability scenario","Chair's text - June 2021 [Sustainability scenario]","Other & Multiple","Atlantic Ocean",6.09,-2.18,-7.8,-0.29
"39","WT/MIN(21)/W/5 | Full exemption","Chair's text - Nov 2021 [Full exemption]","Other & Multiple","Atlantic Ocean",1.01,-0.33,-1.32,-0.04
"40","WT/MIN(21)/W/5 | Managed exemption","Chair's text - Nov 2021 [Managed exemption]","Other & Multiple","Atlantic Ocean",3.55,-1.21,-4.6,-0.16
"41","WT/MIN(21)/W/5 | Sustainability scenario","Chair's text - Nov 2021 [Sustainability scenario]","Other & Multiple","Atlantic Ocean",6.09,-2.18,-7.8,-0.29
"42","WT/MIN(21)/W/5 | Full exemption for domestic only","Chair's text - Nov 2021 [Full exemption for domestic only]","Other & Multiple","Atlantic Ocean",2.99,-1.01,-3.89,-0.13
"43","WT/MIN(21)/W/5 | Managed exemption for domestic only","Chair's text - Nov 2021 [Managed exemption for domestic only]","Other & Multiple","Atlantic Ocean",3.61,-1.23,-4.68,-0.16
"44","WT/MIN(22)/W/20","Chair's text - June 2022","Other & Multiple","Atlantic Ocean",3.17,-1.07,-4.12,-0.14
"45","WT/MIN(22)/W/22","Final Fisheries Subsidies Agreement","Other & Multiple","Atlantic Ocean",2.65,-0.89,-3.45,-0.12
"46","Ambitious Reform","All subsidies","Ambitious Reform","Indian Ocean",6.86,1.08,-5.41,0.14
"47","RD/TN/RL/87","IUU (Option A)","IUU","Indian Ocean",0,0,0,0
"48","RD/TN/RL/104","IUU (Option B)","IUU","Indian Ocean",0,0,0,0
"49","RD/TN/RL/113","Facilitator's working text - IUU","IUU","Indian Ocean",0,0,0,0
