"","Id","Name","Category","Region","Change in biomass (%, 2050)","Change in catch (%, 2050)","Change in fishing mortality (%, 2050)","Change in revenue (%, 2050)","Change in biomass (%, 2080)","Change in catch (%, 2080)","Change in fishing mortality (%, 2080)","Change in revenue (%, 2080)","Subsidies affected ($)","Subsidies affected (%)"
"14","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC","Atlantic Ocean",2.41,-0.88,-3.21,-0.11,2.7,-0.91,-3.51,-0.12,2306875454.88417,23.39
"15","RD/TN/RL/124","CAP - Formula","OFOC","Atlantic Ocean",3.52,-1.19,-4.56,-0.16,3.54,-1.19,-4.57,-0.16,2897745875.17254,29.38
"16","RD/TN/RL/124/Rev.1","CAP - Formula (revised)","OFOC","Atlantic Ocean",3.4,-1.15,-4.4,-0.15,3.41,-1.14,-4.4,-0.15,2670917933.17115,27.08
"17","RD/TN/RL/77/Rev.2","Overfished - Negative effects (Option A)","Overfished","Atlantic Ocean",0.96,-0.33,-1.28,-0.04,1.06,-0.34,-1.39,-0.05,998788140.17837,10.13
"18","RD/TN/RL/95","Overfished - Negative effects + rebuttable (Option B)","Overfished","Atlantic Ocean",0.75,-0.26,-1,-0.03,0.85,-0.27,-1.11,-0.04,976530487.998982,9.9
"19","RD/TN/RL/119/Rev.1 | Objective definition","Facilitator's text - Overfished [Objective definition]","Overfished","Atlantic Ocean",2.12,-0.77,-2.83,-0.1,2.39,-0.8,-3.11,-0.1,1776351377.04543,18.01
"20","RD/TN/RL/119/Rev.1 | Relevant authorities","Facilitator's text - Overfished [Relevant authorities]","Overfished","Atlantic Ocean",0.96,-0.33,-1.28,-0.04,1.06,-0.34,-1.39,-0.05,998788140.17837,10.13
"21","TN/RL/GEN/202","Disputed waters","Other & Multiple","Atlantic Ocean",0.04,-0.02,-0.05,0,0.07,-0.03,-0.1,0,222253640.158072,2.25
"22","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple","Atlantic Ocean",4.8,-1.76,-6.26,-0.23,5.09,-1.8,-6.55,-0.24,6099070537.05203,61.84
"23","TN/RL/GEN/200/Rev.1","S&DT","Other & Multiple","Atlantic Ocean",4.03,-1.48,-5.3,-0.19,4.39,-1.53,-5.67,-0.2,5712455828.29432,57.92
