Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name
2019,biomass,Total,atlantic,112396018.70535898,112396018.70535898,0,Effective,Fuel subsidies
2020,biomass,Total,atlantic,112952684.55656877,112952684.55656877,0,Effective,Fuel subsidies
2021,biomass,Total,atlantic,113691366.46084476,113950009.72884692,0.0022749596214171985,Effective,Fuel subsidies
2022,biomass,Total,atlantic,114491879.03619252,115158251.87443133,0.005820262920378445,Effective,Fuel subsidies
2023,biomass,Total,atlantic,115233229.80667807,116334851.70447317,0.009559932492070565,Effective,Fuel subsidies
2024,biomass,Total,atlantic,115852548.00586532,117346310.46157737,0.012893652158918635,Effective,Fuel subsidies
2025,biomass,Total,atlantic,116334307.51826566,118148954.82474422,0.015598556824637838,Effective,Fuel subsidies
2026,biomass,Total,atlantic,116689765.18712068,118750913.48451677,0.017663488259582062,Effective,Fuel subsidies
2027,biomass,Total,atlantic,116941329.07563427,119183370.30142088,0.019172359708144963,Effective,Fuel subsidies
2028,biomass,Total,atlantic,117113315.68078409,119483460.31995057,0.02023804573706017,Effective,Fuel subsidies
2029,biomass,Total,atlantic,117227440.36659013,119685680.26299426,0.020969833417131673,Effective,Fuel subsidies
2030,biomass,Total,atlantic,117301196.23607029,119818500.27948841,0.02146017367420546,Effective,Fuel subsidies
2031,biomass,Total,atlantic,117347762.82353368,119903773.87568608,0.0217815064441927,Effective,Fuel subsidies
2032,biomass,Total,atlantic,117376593.56817064,119957442.06686267,0.0219877611049695,Effective,Fuel subsidies
2033,biomass,Total,atlantic,117394206.90463154,119990684.03272104,0.02211759163038448,Effective,Fuel subsidies
2034,biomass,Total,atlantic,117404946.80066365,120011086.80035025,0.022197872157051796,Effective,Fuel subsidies
2035,biomass,Total,atlantic,117411618.37529454,120023651.71548344,0.022246804671747233,Effective,Fuel subsidies
2036,biomass,Total,atlantic,117415977.74182743,120031586.16120689,0.022276426681304144,Effective,Fuel subsidies
2037,biomass,Total,atlantic,117419089.10711807,120036890.99270578,0.022294517062720197,Effective,Fuel subsidies
2038,biomass,Total,atlantic,117421574.25242633,120040778.10893187,0.022305984851428793,Effective,Fuel subsidies
2039,biomass,Total,atlantic,117423780.74292389,120043957.25703496,0.022313849013662995,Effective,Fuel subsidies
2040,biomass,Total,atlantic,117425891.77502257,120046827.27215037,0.022319911371414387,Effective,Fuel subsidies
2041,biomass,Total,atlantic,117427995.74074149,120049600.16484226,0.022325207950315114,Effective,Fuel subsidies
2042,biomass,Total,atlantic,117430128.91416582,120052379.51525858,0.02233030505322411,Effective,Fuel subsidies
2043,biomass,Total,atlantic,117432300.75425793,120055208.64467427,0.022335489244182556,Effective,Fuel subsidies
2044,biomass,Total,atlantic,117434508.30350854,120058099.32243888,0.022340886480741215,Effective,Fuel subsidies
2045,biomass,Total,atlantic,117436743.96288657,120061048.265589,0.022346534944223107,Effective,Fuel subsidies
2046,biomass,Total,atlantic,117438999.38561621,120064046.19474995,0.022352428263751462,Effective,Fuel subsidies
2047,biomass,Total,atlantic,117441267.19377634,120067082.49225628,0.022358540240777446,Effective,Fuel subsidies
2048,biomass,Total,atlantic,117443541.54216751,120070147.3589239,0.02236483830669661,Effective,Fuel subsidies
2049,biomass,Total,atlantic,117445818.12250355,120073232.61684522,0.02237129032215612,Effective,Fuel subsidies
2050,biomass,Total,atlantic,117448093.93551145,120076331.82998076,0.022377867587297092,Effective,Fuel subsidies
2051,biomass,Total,atlantic,117450367.00061506,120079440.12035662,0.022384545803316145,Effective,Fuel subsidies
2052,biomass,Total,atlantic,117452636.0826261,120082553.88125086,0.022391305008894375,Effective,Fuel subsidies
2053,biomass,Total,atlantic,117454900.46584865,120085670.48643224,0.022398129070387414,Effective,Fuel subsidies
2054,biomass,Total,atlantic,117457159.78123899,120088788.03766508,0.02240500503611221,Effective,Fuel subsidies
2055,biomass,Total,atlantic,117459413.8811728,120091905.16290739,0.022411922507954377,Effective,Fuel subsidies
2056,biomass,Total,atlantic,117461662.7525709,120095020.86338134,0.02241887309527982,Effective,Fuel subsidies
2057,biomass,Total,atlantic,117463906.45891246,120098134.4019671,0.022425849969292946,Effective,Fuel subsidies
2058,biomass,Total,atlantic,117466145.10295768,120101245.2240212,0.02243284751324632,Effective,Fuel subsidies
2059,biomass,Total,atlantic,117468378.80373594,120104352.90239832,0.022439861054578056,Effective,Fuel subsidies
2060,biomass,Total,atlantic,117470607.68301767,120107457.09988774,0.02244688666279261,Effective,Fuel subsidies
2061,biomass,Total,atlantic,117472831.85787912,120110557.54382405,0.022453920997972544,Effective,Fuel subsidies
2062,biomass,Total,atlantic,117475051.4370429,120113654.00901173,0.022460961197219825,Effective,Fuel subsidies
2063,biomass,Total,atlantic,117477266.51946372,120116746.30621919,0.022468004788978993,Effective,Fuel subsidies
