Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name
2019,biomass,Total,atlantic,112396018.70535898,112396018.70535898,0,Effective,All subsidies
2020,biomass,Total,atlantic,112952684.55656877,112952684.55656877,0,Effective,All subsidies
2021,biomass,Total,atlantic,113691366.46084476,114567833.10650556,0.007709175049476227,Effective,All subsidies
2022,biomass,Total,atlantic,114491879.03619252,116708728.6887376,0.019362505631026473,Effective,All subsidies
2023,biomass,Total,atlantic,115233229.80667807,118850930.34160215,0.03139459460602934,Effective,All subsidies
2024,biomass,Total,atlantic,115852548.00586532,120716022.23377725,0.041979864160309265,Effective,All subsidies
2025,biomass,Total,atlantic,116334307.51826566,122210982.55721858,0.05051540826020062,Effective,All subsidies
2026,biomass,Total,atlantic,116689765.18712068,123344707.55355911,0.057031071711959834,Effective,All subsidies
2027,biomass,Total,atlantic,116941329.07563427,124170537.93871035,0.06181910980676842,Effective,All subsidies
2028,biomass,Total,atlantic,117113315.68078409,124753691.31062624,0.06523917101508361,Effective,All subsidies
2029,biomass,Total,atlantic,117227440.36659013,125155324.34890315,0.06762822729491647,Effective,All subsidies
2030,biomass,Total,atlantic,117301196.23607029,125426294.21156529,0.06926696603454173,Effective,All subsidies
2031,biomass,Total,atlantic,117347762.82353368,125606000.95752148,0.0703740568655446,Effective,All subsidies
2032,biomass,Total,atlantic,117376593.56817064,125723542.35985416,0.07111254925655801,Effective,All subsidies
2033,biomass,Total,atlantic,117394206.90463154,125799662.25265256,0.07160025668770369,Effective,All subsidies
2034,biomass,Total,atlantic,117404946.80066365,125848742.22869113,0.07192026961490647,Effective,All subsidies
2035,biomass,Total,atlantic,117411618.37529454,125880522.47333825,0.07213003461866697,Effective,All subsidies
2036,biomass,Total,atlantic,117415977.74182743,125901464.11380279,0.07226858333227125,Effective,All subsidies
2037,biomass,Total,atlantic,117419089.10711807,125915770.35888381,0.07236200958784873,Effective,All subsidies
2038,biomass,Total,atlantic,117421574.25242633,125926123.16282079,0.07242748161519158,Effective,All subsidies
2039,biomass,Total,atlantic,117423780.74292389,125934199.4559561,0.072476108835774,Effective,All subsidies
2040,biomass,Total,atlantic,117425891.77502257,125941024.46487367,0.07251495016248488,Effective,All subsidies
2041,biomass,Total,atlantic,117427995.74074149,125947208.64957277,0.07254839746767093,Effective,All subsidies
2042,biomass,Total,atlantic,117430128.91416582,125953103.65609501,0.0725791142421291,Effective,All subsidies
2043,biomass,Total,atlantic,117432300.75425793,125958903.13367732,0.0726086632438752,Effective,All subsidies
2044,biomass,Total,atlantic,117434508.30350854,125964706.73041865,0.0726379200640402,Effective,All subsidies
2045,biomass,Total,atlantic,117436743.96288657,125970559.93480518,0.0726673414465199,Effective,All subsidies
2046,biomass,Total,atlantic,117438999.38561621,125976478.34789756,0.07269713644483765,Effective,All subsidies
2047,biomass,Total,atlantic,117441267.19377634,125982462.0984884,0.0727273735101923,Effective,All subsidies
2048,biomass,Total,atlantic,117443541.54216751,125988504.13679868,0.07275804597192889,Effective,All subsidies
2049,biomass,Total,atlantic,117445818.12250355,125994594.80792363,0.07278911094563756,Effective,All subsidies
2050,biomass,Total,atlantic,117448093.93551145,126000724.2212643,0.0728205115908389,Effective,All subsidies
2051,biomass,Total,atlantic,117450367.00061506,126006883.35511234,0.07285218916729716,Effective,All subsidies
