Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name
2019,biomass,Total,atlantic,112396018.70535898,112396018.70535898,0,Absolute,All subsidies
2020,biomass,Total,atlantic,112952684.55656877,112952684.55656877,0,Absolute,All subsidies
2021,biomass,Total,atlantic,113691366.46084476,114742702.72493835,0.009247283209105173,Absolute,All subsidies
2022,biomass,Total,atlantic,114490238.75979355,117130944.31530978,0.02306489692153202,Absolute,All subsidies
2023,biomass,Total,atlantic,115227879.50578201,119515207.94693238,0.03720738817323488,Absolute,All subsidies
2024,biomass,Total,atlantic,115841897.17483813,121583957.39598635,0.04956807822718781,Absolute,All subsidies
2025,biomass,Total,atlantic,116317558.94084918,123236883.54864186,0.05948650118518521,Absolute,All subsidies
2026,biomass,Total,atlantic,116666860.47079152,124487085.5206102,0.06703038907759531,Absolute,All subsidies
2027,biomass,Total,atlantic,116912741.9281584,125395920.06623283,0.07255991090592373,Absolute,All subsidies
2028,biomass,Total,atlantic,117079823.38436912,126036843.33588023,0.07650353145909282,Absolute,All subsidies
2029,biomass,Total,atlantic,117189934.64111176,126478049.73180096,0.07925693549649618,Absolute,All subsidies
2030,biomass,Total,atlantic,117260552.02686176,126775876.57832778,0.08114685106792155,Absolute,All subsidies
2031,biomass,Total,atlantic,117304761.53758252,126973758.67291144,0.08242629718173146,Absolute,All subsidies
2032,biomass,Total,atlantic,117331888.48622526,127103655.80024123,0.08328313334156531,Absolute,All subsidies
2033,biomass,Total,atlantic,117348317.04759564,127188289.55679365,0.08385269390107221,Absolute,All subsidies
2034,biomass,Total,atlantic,117358267.49400195,127243382.19986635,0.08423023717838725,Absolute,All subsidies
2035,biomass,Total,atlantic,117364439.81373024,127279569.20281726,0.08448154658108861,Absolute,All subsidies
2036,biomass,Total,atlantic,117368505.82051435,127303902.10026973,0.08465129729903077,Absolute,All subsidies
2037,biomass,Total,atlantic,117371465.16939636,127320968.97552271,0.08476935847879837,Absolute,All subsidies
2038,biomass,Total,atlantic,117373892.10746478,127333699.73795566,0.08485539204384497,Absolute,All subsidies
2039,biomass,Total,atlantic,117376100.4075736,127343928.97651376,0.08492213094768138,Absolute,All subsidies
2040,biomass,Total,atlantic,117378250.03279154,127352780.5876117,0.08497767305300272,Absolute,All subsidies
2041,biomass,Total,atlantic,117380413.92792654,127360925.54179884,0.08502706098821988,Absolute,All subsidies
2042,biomass,Total,atlantic,117382618.4559375,127368751.58351779,0.08507335463238817,Absolute,All subsidies
2043,biomass,Total,atlantic,117384866.9687219,127376473.05065577,0.08511834906791019,Absolute,All subsidies
2044,biomass,Total,atlantic,117387152.92851721,127384200.7164649,0.0851630484132739,Absolute,All subsidies
2045,biomass,Total,atlantic,117389466.77565056,127391985.39133617,0.08520797385341201,Absolute,All subsidies
2046,biomass,Total,atlantic,117391799.20004939,127399844.58547357,0.08525336057222617,Absolute,All subsidies
