Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name
2019,biomass,Total,atlantic,112396018.70535898,112396018.70535898,0,Absolute,Fuel subsidies
2020,biomass,Total,atlantic,112952684.55656877,112952684.55656877,0,Absolute,Fuel subsidies
2021,biomass,Total,atlantic,113691366.46084476,113999275.11322829,0.002708285263591934,Absolute,Fuel subsidies
2022,biomass,Total,atlantic,114490238.75979355,115280933.1527279,0.006906216647807591,Absolute,Fuel subsidies
2023,biomass,Total,atlantic,115227879.50578201,116531482.6272086,0.011313261400086634,Absolute,Fuel subsidies
2024,biomass,Total,atlantic,115841897.17483813,117605579.74384618,0.01522491095208979,Absolute,Fuel subsidies
2025,biomass,Total,atlantic,116317558.94084918,118456132.19197725,0.018385644184775132,Absolute,Fuel subsidies
2026,biomass,Total,atlantic,116666860.47079152,119092205.75754943,0.020788639352861654,Absolute,Fuel subsidies
2027,biomass,Total,atlantic,116912741.9281584,119547614.4706854,0.02253708619840676,Absolute,Fuel subsidies
2028,biomass,Total,atlantic,117079823.38436912,119862392.28564385,0.023766425510735916,Absolute,Fuel subsidies
2029,biomass,Total,atlantic,117189934.64111176,120073567.84473632,0.024606492122856302,Absolute,Fuel subsidies
2030,biomass,Total,atlantic,117260552.02686176,120211577.38459094,0.025166394893426463,Absolute,Fuel subsidies
2031,biomass,Total,atlantic,117304761.53758252,120299688.21644977,0.02553116036903349,Absolute,Fuel subsidies
2032,biomass,Total,atlantic,117331888.48622526,120354800.08003557,0.02576376833962912,Absolute,Fuel subsidies
2033,biomass,Total,atlantic,117348317.04759564,120388710.21611457,0.02590913312617657,Absolute,Fuel subsidies
2034,biomass,Total,atlantic,117358267.49400195,120409385.1451524,0.025998318791698158,Absolute,Fuel subsidies
2035,biomass,Total,atlantic,117364439.81373024,120422047.28374644,0.02605224780920816,Absolute,Fuel subsidies
2036,biomass,Total,atlantic,117368505.82051435,120430024.77150962,0.026084671774531155,Absolute,Fuel subsidies
2037,biomass,Total,atlantic,117371465.16939636,120435378.64979497,0.026104415378785783,Absolute,Fuel subsidies
2038,biomass,Total,atlantic,117373892.10746478,120439346.32752803,0.026117002384623972,Absolute,Fuel subsidies
2039,biomass,Total,atlantic,117376100.4075736,120442644.50884439,0.026125796398266853,Absolute,Fuel subsidies
2040,biomass,Total,atlantic,117378250.03279154,120445670.00980142,0.026132779932849088,Absolute,Fuel subsidies
2041,biomass,Total,atlantic,117380413.92792654,120448629.23025161,0.026139073799901602,Absolute,Fuel subsidies
2042,biomass,Total,atlantic,117382618.4559375,120451619.36270607,0.026145275570936308,Absolute,Fuel subsidies
2043,biomass,Total,atlantic,117384866.9687219,120454677.87670644,0.026151675145677122,Absolute,Fuel subsidies
2044,biomass,Total,atlantic,117387152.92851721,120457811.71007717,0.026158388758519713,Absolute,Fuel subsidies
2045,biomass,Total,atlantic,117389466.77565056,120461013.83092016,0.026165440048720904,Absolute,Fuel subsidies
2046,biomass,Total,atlantic,117391799.20004939,120464272.16778849,0.02617280754427531,Absolute,Fuel subsidies
2047,biomass,Total,atlantic,117394142.44545606,120467574.08036864,0.026180451348674107,Absolute,Fuel subsidies
2048,biomass,Total,atlantic,117396490.60967787,120470908.32957685,0.026188327299500526,Absolute,Fuel subsidies
2049,biomass,Total,atlantic,117398839.48692776,120474265.72075999,0.02619639382529561,Absolute,Fuel subsidies
2050,biomass,Total,atlantic,117401186.2452946,120477639.09897372,0.026204614723834816,Absolute,Fuel subsidies
2051,biomass,Total,atlantic,117403529.08460319,120481023.0722216,0.02621295979442591,Absolute,Fuel subsidies
2052,biomass,Total,atlantic,117405866.93744504,120484413.65853724,0.026221404444229972,Absolute,Fuel subsidies
2053,biomass,Total,atlantic,117408199.23283723,120487807.94976702,0.02622992888957005,Absolute,Fuel subsidies
2054,biomass,Total,atlantic,117410525.72121163,120491203.82866567,0.026238517275436107,Absolute,Fuel subsidies
2055,biomass,Total,atlantic,117412846.35106876,120494599.74720258,0.026247156864924757,Absolute,Fuel subsidies
2056,biomass,Total,atlantic,117415161.1856121,120497994.56083903,0.026255837356076433,Absolute,Fuel subsidies
2057,biomass,Total,atlantic,117417470.34857914,120501387.40877396,0.02626455033513791,Absolute,Fuel subsidies
2058,biomass,Total,atlantic,117419773.99045785,120504777.62957004,0.026273288853058883,Absolute,Fuel subsidies
2059,biomass,Total,atlantic,117422072.26839896,120508164.70281509,0.026282047104074745,Absolute,Fuel subsidies
2060,biomass,Total,atlantic,117424365.33500457,120511548.20930853,0.026290820184519812,Absolute,Fuel subsidies
2061,biomass,Total,atlantic,117426653.33266142,120514927.8040827,0.026299603912515696,Absolute,Fuel subsidies
2062,biomass,Total,atlantic,117428936.391198,120518303.19812846,0.02630839469275849,Absolute,Fuel subsidies
2063,biomass,Total,atlantic,117431214.62743458,120521674.14592293,0.02631718941418789,Absolute,Fuel subsidies
2064,biomass,Total,atlantic,117433488.14573516,120525040.43677619,0.026325985371433484,Absolute,Fuel subsidies
2065,biomass,Total,atlantic,117435757.03902803,120528401.88867146,0.026334780203406273,Absolute,Fuel subsidies
2066,biomass,Total,atlantic,117438021.3899894,120531758.34373179,0.026343571844323493,Absolute,Fuel subsidies
2067,biomass,Total,atlantic,117440281.27222627,120535109.6647549,0.02635235848383928,Absolute,Fuel subsidies
2068,biomass,Total,atlantic,117442536.75137837,120538455.73246233,0.026361138533970093,Absolute,Fuel subsidies
2069,biomass,Total,atlantic,117444787.88610765,120541796.44324091,0.02636991060119746,Absolute,Fuel subsidies
2070,biomass,Total,atlantic,117447034.728969,120545131.7072375,0.026378673462620343,Absolute,Fuel subsidies
2071,biomass,Total,atlantic,117449277.32716843,120548461.4467198,0.02638742604535767,Absolute,Fuel subsidies
2072,biomass,Total,atlantic,117451515.72322088,120551785.59464714,0.02639616740861959,Absolute,Fuel subsidies
2073,biomass,Total,atlantic,117453749.95552057,120555104.09341444,0.026404896728017158,Absolute,Fuel subsidies
2074,biomass,Total,atlantic,117455980.0588361,120558416.8937434,0.026413613281786243,Absolute,Fuel subsidies
2075,biomass,Total,atlantic,117458206.06474157,120561723.95370124,0.026422316438657795,Absolute,Fuel subsidies
2076,biomass,Total,atlantic,117460428.00199297,120565025.23783249,0.02643100564716859,Absolute,Fuel subsidies
2077,biomass,Total,atlantic,117462645.89685771,120568320.7163903,0.02643968042623216,Absolute,Fuel subsidies
2078,biomass,Total,atlantic,117464859.77340376,120571610.36465673,0.026448340356818728,Absolute,Fuel subsidies
2079,biomass,Total,atlantic,117467069.65375423,120574894.16234209,0.02645698507461258,Absolute,Fuel subsidies
2080,biomass,Total,atlantic,117469275.55831136,120578172.09305449,0.026465614263534675,Absolute,Fuel subsidies
2081,biomass,Total,atlantic,117471477.5059543,120581444.14383176,0.026474227650025335,Absolute,Fuel subsidies
2082,biomass,Total,atlantic,117473675.5142137,120584710.30472873,0.026482824998002353,Absolute,Fuel subsidies
2083,biomass,Total,atlantic,117475869.59942587,120587970.56845346,0.026491406104414174,Absolute,Fuel subsidies
2084,biomass,Total,atlantic,117478059.77686922,120591224.93004662,0.026499970795315776,Absolute,Fuel subsidies
2085,biomass,Total,atlantic,117480246.06088479,120594473.38659921,0.026508518922410657,Absolute,Fuel subsidies
2086,biomass,Total,atlantic,117482428.46498276,120597715.93700391,0.02651705036000087,Absolute,Fuel subsidies
2087,biomass,Total,atlantic,117484607.00193688,120600952.58173619,0.026525565002297982,Absolute,Fuel subsidies
2088,biomass,Total,atlantic,117486781.68386778,120604183.32266153,0.02653406276105191,Absolute,Fuel subsidies
2089,biomass,Total,atlantic,117488952.52231671,120607408.16286573,0.026542543563461227,Absolute,Fuel subsidies
2090,biomass,Total,atlantic,117491119.52831085,120610627.10650557,0.026551007350330346,Absolute,Fuel subsidies
2091,biomass,Total,atlantic,117493282.71242103,120613840.15867725,0.026559454074444076,Absolute,Fuel subsidies
2092,biomass,Total,atlantic,117495442.08481273,120617047.3253006,0.026567883699135996,Absolute,Fuel subsidies
2093,biomass,Total,atlantic,117497597.65529123,120620248.61301729,0.02657629619702646,Absolute,Fuel subsidies
2094,biomass,Total,atlantic,117499749.43334155,120623444.02910104,0.026584691548909137,Absolute,Fuel subsidies
2095,biomass,Total,atlantic,117501897.42816377,120626633.58137867,0.026593069742769454,Absolute,Fuel subsidies
2096,biomass,Total,atlantic,117504041.64870434,120629817.27816059,0.026601430772919446,Absolute,Fuel subsidies
2097,biomass,Total,atlantic,117506182.1036836,120632995.12817954,0.026609774639234998,Absolute,Fuel subsidies
2098,biomass,Total,atlantic,117508318.80162024,120636167.14053681,0.026618101346484773,Absolute,Fuel subsidies
2099,biomass,Total,atlantic,117510451.750853,120639333.32465486,0.02662641090373604,Absolute,Fuel subsidies
2100,biomass,Total,atlantic,117512580.95955963,120642493.69023538,0.0266347033238327,Absolute,Fuel subsidies
2019,price,Total,atlantic,1282.9673631675284,1282.9673631675284,0,Absolute,Fuel subsidies
2020,price,Total,atlantic,1291.7465158494424,1305.1224194968195,0.010354898181073229,Absolute,Fuel subsidies
2021,price,Total,atlantic,1295.7653300132718,1317.6528580474662,0.016891583319311603,Absolute,Fuel subsidies
2022,price,Total,atlantic,1294.741573769038,1319.0526131527758,0.01877675041588996,Absolute,Fuel subsidies
2023,price,Total,atlantic,1290.9840132426025,1314.0819398925025,0.017891721673519646,Absolute,Fuel subsidies
2024,price,Total,atlantic,1286.4141690480585,1306.825045801965,0.015866489381884234,Absolute,Fuel subsidies
2025,price,Total,atlantic,1282.1182980513797,1299.6090723238888,0.013642090826636121,Absolute,Fuel subsidies
2026,price,Total,atlantic,1278.5539556193241,1293.4526349155747,0.01165275757880213,Absolute,Fuel subsidies
2027,price,Total,atlantic,1275.8154655671015,1288.6310352392472,0.010045002602668128,Absolute,Fuel subsidies
2028,price,Total,atlantic,1273.823166398829,1285.0635448252551,0.008824127809045346,Absolute,Fuel subsidies
2029,price,Total,atlantic,1272.4345962029354,1282.5337714963202,0.007936891470509957,Absolute,Fuel subsidies
2030,price,Total,atlantic,1271.5017154569825,1280.8012758990985,0.0073138402638911835,Absolute,Fuel subsidies
2031,price,Total,atlantic,1270.8959210826536,1279.650924129328,0.0068888434540069305,Absolute,Fuel subsidies
2032,price,Total,atlantic,1270.515650919421,1278.9093855760798,0.006606557463959299,Absolute,Fuel subsidies
2033,price,Total,atlantic,1270.2855562583777,1278.4457794694067,0.006423928203249763,Absolute,Fuel subsidies
2034,price,Total,atlantic,1270.1522818002916,1278.1657444219827,0.006309056588343086,Absolute,Fuel subsidies
2035,price,Total,atlantic,1270.0794619825936,1278.0036800765838,0.00623915143200611,Absolute,Fuel subsidies
2036,price,Total,atlantic,1270.0431346741818,1277.915370364659,0.006198400255513238,Absolute,Fuel subsidies
2037,price,Total,atlantic,1270.0280080139642,1277.8718380403827,0.00617610791015904,Absolute,Fuel subsidies
2038,price,Total,atlantic,1270.0246337971814,1277.8545996146304,0.00616520783068479,Absolute,Fuel subsidies
2039,price,Total,atlantic,1270.027374646849,1277.8521862099915,0.006161136145052217,Absolute,Fuel subsidies
2040,price,Total,atlantic,1270.0330003968843,1277.8576909070227,0.006161013538776743,Absolute,Fuel subsidies
2041,price,Total,atlantic,1270.039752276878,1277.8670949347488,0.006163069025074374,Absolute,Fuel subsidies
2042,price,Total,atlantic,1270.0467388416253,1277.8781577075576,0.0061662446163794045,Absolute,Fuel subsidies
2043,price,Total,atlantic,1270.053558290813,1277.889700370341,0.006169930416220779,Absolute,Fuel subsidies
2044,price,Total,atlantic,1270.0600701447,1277.901155607653,0.0061737910255376454,Absolute,Fuel subsidies
2045,price,Total,atlantic,1270.0662623589637,1277.9122926633859,0.006177654298012189,Absolute,Fuel subsidies
2046,price,Total,atlantic,1270.072177494953,1277.9230546196154,0.006181441703689059,Absolute,Fuel subsidies
2047,price,Total,atlantic,1270.077874187435,1277.9334656845797,0.006185125854720053,Absolute,Fuel subsidies
2048,price,Total,atlantic,1270.0834088805843,1277.9435808956912,0.006188705371747662,Absolute,Fuel subsidies
2049,price,Total,atlantic,1270.0888286301079,1277.953460687057,0.006192190561530889,Absolute,Fuel subsidies
2050,price,Total,atlantic,1270.0941695361985,1277.9631594593425,0.006195595658877425,Absolute,Fuel subsidies
2051,price,Total,atlantic,1270.0994577309611,1277.972721626193,0.006198934931676596,Absolute,Fuel subsidies
2052,price,Total,atlantic,1270.1047112727322,1277.9821813493377,0.0062022209717746335,Absolute,Fuel subsidies
2053,price,Total,atlantic,1270.109942133204,1277.9915638559844,0.0062054641581207656,Absolute,Fuel subsidies
