year,loc_id,loc_name,loc_ter1_iso3,loc_sov1_iso3,loc_ter2_iso3,loc_sov2_iso3,loc_ter3_iso3,loc_sov3_iso3,flag_iso3,vessels_n,fishing_h,fishing_kwh,length_m_mean,length_m_min,length_m_max,tonnage_gt_mean,tonnage_gt_min,tonnage_gt_max,engine_power_kw_mean,engine_power_kw_min,engine_power_kw_max
2016,5670,Albanian Exclusive Economic Zone,ALB,ALB,"NA","NA","NA","NA",ALB,2,1604.8069444444454,414887.697921778,20.345173000506666,19.735961666483334,20.954384334529998,68.57551568965499,50.97024614061,86.1807852387,262.0601555891883,248.56880536701,275.55150581136667
2016,5670,Albanian Exclusive Economic Zone,ALB,ALB,"NA","NA","NA","NA",GRC,7,40.484722222222224,6849.276541666667,22.46785714285714,18.1,26.3,56.857142857142854,20,123,225.36714285714285,51.46,360.2
2016,5670,Albanian Exclusive Economic Zone,ALB,ALB,"NA","NA","NA","NA",ITA,17,1638.925,455446.569582116,21.541953305843332,13.01,32.59,73.75596282685632,23,173,284.3871669460595,118,679
2016,8378,Algerian Exclusive Economic Zone,DZA,DZA,"NA","NA","NA","NA",ESP,10,159.39749999999995,18297.50389631679,20.826061282833223,17,24.98,87.22030149498289,43.93,146,151.19634996350683,88.67466666666667,369.4733333333333
2016,8444,American Samoa Exclusive Economic Zone,ASM,USA,"NA","NA","NA","NA",CHN,6,38.785833333333336,18644.462621111114,35.81428571428572,32.74,40.41,274.85714285714283,196,517,536.8681428571429,387.92,755.46
2016,8444,American Samoa Exclusive Economic Zone,ASM,USA,"NA","NA","NA","NA",COK,3,56.50416666666668,19519.548850000003,25.79077060932222,22.847311827966664,29.875,72.01589822169167,65.5906122025,80.457082462575,359.38,283.5,447.6
2016,8444,American Samoa Exclusive Economic Zone,ASM,USA,"NA","NA","NA","NA",FSM,2,2.9363888888888887,3838.2943333333324,52.879999999999995,28.6,77.16,663.9203500067644,98,1229.8407000135287,1566.6,447.6,2685.6
2016,8444,American Samoa Exclusive Economic Zone,ASM,USA,"NA","NA","NA","NA",KIR,1,2.5672222222222216,2105.122222222222,23.79,23.79,23.79,151.42380144572,151.42380144572,151.42380144572,820,820,820
2016,8444,American Samoa Exclusive Economic Zone,ASM,USA,"NA","NA","NA","NA",TWN,8,110.59750000000001,64492.60579141452,28.79529391122,23.9,35.5,116.076984119362,79.035,209,633.815157900048,335.7,769.872
2016,8444,American Samoa Exclusive Economic Zone,ASM,USA,"NA","NA","NA","NA",USA,19,29561.07527777777,10638598.396789536,37.7552775342381,21.343,79.2341,336.8926666666667,29.89,2110,667.5374222222222,51,3506.2000000000003
2016,8444,American Samoa Exclusive Economic Zone,ASM,USA,"NA","NA","NA","NA",VUT,12,95.80361111111111,46451.646310022224,23.961136695905555,23.560000000000002,25.166666666666664,90.23623880011563,68,100.83486560138749,446.9263261111111,261.1,746
2016,8386,Amsterdam Island & St. Paul Island Exclusive Economic Zone,ATF,FRA,"NA","NA","NA","NA",FRA,1,219.91472222222222,573977.425,76.39,76.39,76.39,1698,1698,1698,2610,2610,2610
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",AGO,10,35763.31888888903,17843162.63584646,32.217927349605326,29.14334067995714,35.01911954724285,295.77289529182417,209.59460367418572,358.3082794996714,511.5042701556092,411.54169931292853,580.8159210239
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",BLZ,1,133.03361111111116,446414.23712500016,81,81,81,2400,2400,2400,3355.65,3355.65,3355.65
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",CHN,1,24.354444444444447,18169.393995140705,33.8660714069,33.8660714069,33.8660714069,134.2272438702,134.2272438702,134.2272438702,746.04017499095,746.04017499095,746.04017499095
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",CPV,1,72.63500000000002,339340.7221991102,87,87,87,2548,2548,2548,4671.862355601434,4671.862355601434,4671.862355601434
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",CUW,2,80.98500000000003,265718.2638000001,163.3516666666667,80.43333333333334,246.27000000000004,2062,1988,2136,3281.08,3281.08,3281.08
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",ESP,28,54232.69805555567,33102035.71907437,40.31461653734496,30.375,87,560.268993392448,193,2591,938.1488749327527,301.57,4496.98774
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",FRA,10,853.9894444444444,2716869.188055556,63.86681818181818,19.5,81.9,1354.6472727272728,92.06,2357,2715.090909090909,324,3920
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",GBR,1,422.9136111111111,350771.3363537666,38.26154357585,38.26154357585,38.26154357585,313.7482331133834,313.7482331133834,313.7482331133834,829.4160488999,829.4160488999,829.4160488999
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",JPN,4,260.0577777777775,196069.40884166647,51.257708333125,49.9,54.685,419.5,391,439,671.4525,384.98199999999997,830.55
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",KNA,1,0.9241666666666667,3215.2065413211867,80.84937272975,80.84937272975,80.84937272975,4769.493816163725,4769.493816163725,4769.493816163725,3479.033227759625,3479.033227759625,3479.033227759625
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",LTU,1,591.637222222222,761487.9852523181,54.76337219731667,54.76337219731667,54.76337219731667,1012.5886330200167,1012.5886330200167,1012.5886330200167,1287.0859990724166,1287.0859990724166,1287.0859990724166
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",NAM,8,11863.002777777767,6616653.263505765,36.047654485093396,31.558924186212497,44.96553019076,372.5358493262533,226.4923488988625,609.5832796329801,667.7725015197697,493.37395501440005,1572.55069769838
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",NOR,1,415.7997222222226,411071.7018469196,37.97812318372,37.97812318372,37.97812318372,496.51017234384,496.51017234384,496.51017234384,988.6290920300901,988.6290920300901,988.6290920300901
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",PAN,2,311.51166666666677,766862.481756974,141.045,26.7,255.39,1118.5,168,2069,2356.818298932775,674.8585,4038.77809786555
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",SEN,1,23.073888888888884,74846.96540833332,77.55,77.55,77.55,2107,2107,2107,3243.795,3243.795,3243.795
2016,8478,Angolan Exclusive Economic Zone,AGO,AGO,"NA","NA","NA","NA",SLV,1,2.1025,6293.237340833333,78.28333333333333,78.28333333333333,78.28333333333333,2157,2157,2157,2993.2163333333333,2993.2163333333333,2993.2163333333333
2016,8489,Antarctic 200NM zone beyond the coastline,NA,NA,NA,NA,NA,NA,NOR,3,30.25916666666668,130399.90000000007,108.46,92,133.88,6657,4848,9623,4820,3960,6000
2016,8489,Antarctic 200NM zone beyond the coastline,NA,NA,NA,NA,NA,NA,NZL,1,4.899166666666664,4597.867916666664,43.629999999999995,43.629999999999995,43.629999999999995,1079,1079,1079,938.5,938.5,938.5
2016,8489,Antarctic 200NM zone beyond the coastline,NA,NA,NA,NA,NA,NA,UKR,1,7.998611111111109,6622.8499999999985,52.59,52.59,52.59,968,968,968,828,828,828
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",ARG,248,461577.22833333554,468258069.46526515,44.07431681583944,23.543121079475,87.22977505193572,540.4867242317605,47.304398072525004,3767.638782541315,1043.8666642244716,343.81322687703334,3808.438365701315
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",CHL,8,79.01972222222223,152059.73411111112,70.70863636363636,45.55,97.62,2051.1363636363635,536,4991,2339.6930303030304,894.72,5587.23
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",CHN,90,3192.313333333333,4257290.144516166,62.726793152035135,50.11191821891,78,1279.3291866939362,586,9088.246952994585,1346.8412516736557,658.34216557458,2400
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",ESP,8,1410.4911111111114,1144986.129879568,57.55675350192778,38.480390758675,72.2,1052.9592819449538,260.8167687522917,1513,1365.3574807736888,786.1811634815999,1790.365
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",KHM,1,68.18138888888889,100129.66318156123,61.14345733735,61.14345733735,61.14345733735,905.3042799909699,905.3042799909699,905.3042799909699,1468.5776399295198,1468.5776399295198,1468.5776399295198
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",KOR,18,251.45527777777758,372083.3581192626,58.66723096831376,46.88329284403572,92.27,906.1018416400861,276,2999,1354.83184044611,930,2807
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",NGA,1,1824.9616666666536,2313494.914359499,51.33422977563334,51.33422977563334,51.33422977563334,496.63459527640003,496.63459527640003,496.63459527640003,1267.6950736094998,1267.6950736094998,1267.6950736094998
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",POL,1,0.711111111111111,3854.2222222222217,67.47,67.47,67.47,1468,1468,1468,5420,5420,5420
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",SHN,1,17.170277777777788,24038.3888888889,50.685,50.685,50.685,1352,1352,1352,1400,1400,1400
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",TWN,9,33.6225,64431.310659311464,71.37611111111111,65.8,74.55,1013.6666666666666,927,1318,1852.9642926301653,1342,2197.8285820950136
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",UKR,3,16.250833333333333,13961.468333333332,70.13666666666667,52.59,103,2722,805,6393,2294,828,5202
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",UNK,1,37.54194444444445,13573.944238665403,25.5614031918125,25.5614031918125,25.5614031918125,148.8788056960125,148.8788056960125,148.8788056960125,361.56742650217495,361.56742650217495,361.56742650217495
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",URY,38,35691.35694444444,20550064.94142564,28.121916796405735,22.366057102000003,51.23104820811667,201.0134776431879,109.46654644127857,619,480.3614349055668,223.4621733934,1079.6980193811996
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",USA,1,4587.954444444531,5371820.691022,39.445859249307134,39.445859249307134,39.445859249307134,639.7693802612929,639.7693802612929,639.7693802612929,1170.853101544336,1170.853101544336,1170.853101544336
2016,8466,Argentinean Exclusive Economic Zone,ARG,ARG,"NA","NA","NA","NA",VUT,1,9.123888888888892,22453.647259692105,76.07,76.07,76.07,998,998,998,2460.973334192643,2460.973334192643,2460.973334192643
2016,8379,Ascension Exclusive Economic Zone,ASC,GBR,"NA","NA","NA","NA",TWN,1,543.8041666666667,443952.2126567763,49.3,49.3,49.3,465,465,465,816.3825139076285,816.3825139076285,816.3825139076285
2016,8323,Australian Exclusive Economic Zone,AUS,AUS,"NA","NA","NA","NA",AUS,110,116090.28194444448,52867871.90024689,24.555276354817135,13.451963878883333,57.9289906867,190.66203782305107,16,2794.428360575625,457.997546821645,160.24903117454286,2211.933487058275
2016,8323,Australian Exclusive Economic Zone,HMD,AUS,"NA","NA","NA","NA",AUS,1,399.42444444444476,1508093.560740742,68.1,68.1,68.1,1906,1906,1906,3775.6666666666665,3775.6666666666665,3775.6666666666665
2016,8323,Australian Exclusive Economic Zone,NFK,AUS,"NA","NA","NA","NA",AUS,1,11.668055555555554,5250.624999999999,23.78,23.78,23.78,138,138,138,450,450,450
2016,8323,Australian Exclusive Economic Zone,AUS,AUS,"NA","NA","NA","NA",CHN,3,6.410555555555558,5141.489888333073,34.63141652820417,32.3942495846125,35.75,375.92700646992915,271,585.7810194097874,765.5677055835291,676.7031167505875,810
2016,8323,Australian Exclusive Economic Zone,NFK,AUS,"NA","NA","NA","NA",CHN,4,31.573055555555552,17433.170870958424,35.95280179784509,29.116880323742855,41.544326867637494,223.91041166206338,151.89039450722856,363.751252141025,485.08064604676207,330,822.4884329739625
2016,8323,Australian Exclusive Economic Zone,AUS,AUS,"NA","NA","NA","NA",COK,1,492.9161111111121,194516.07752185987,24.534749182622225,24.534749182622225,24.534749182622225,108.35904527022223,108.35904527022223,108.35904527022223,394.62308724985553,394.62308724985553,394.62308724985553
2016,8323,Australian Exclusive Economic Zone,AUS,AUS,"NA","NA","NA","NA",JPN,1,3.8966666666666665,2635.561806111111,53.1,53.1,53.1,577,577,577,676.3631666666666,676.3631666666666,676.3631666666666
2016,8323,Australian Exclusive Economic Zone,CCK,AUS,"NA","NA","NA","NA",JPN,9,15.678611111111111,11209.328887257408,50.44112654324074,46.2545833325,52.36333333333334,407.44444444444446,379,439,681.5752303703704,348.80266666666677,742.3588000000002
2016,8323,Australian Exclusive Economic Zone,CXR,AUS,"NA","NA","NA","NA",JPN,1,3.118888888888889,2293.2503844444445,49.995000000000005,49.995000000000005,49.995000000000005,439,439,439,735.278,735.278,735.278
2016,8323,Australian Exclusive Economic Zone,NFK,AUS,"NA","NA","NA","NA",JPN,2,14.11361111111111,10951.105551658333,52.34,52.31666666666667,52.36333333333334,424,409,439,743.729595,705.0146400000001,782.4445499999999
2016,8323,Australian Exclusive Economic Zone,CCK,AUS,"NA","NA","NA","NA",MHL,1,11.944444444444445,5303.6528026300275,27.1972753792,27.1972753792,27.1972753792,63.4610232877,63.4610232877,63.4610232877,444.0267462667,444.0267462667,444.0267462667
2016,8323,Australian Exclusive Economic Zone,AUS,AUS,"NA","NA","NA","NA",NZL,1,4.731944444444445,8403.933333333334,42.5,42.5,42.5,1048,1048,1048,1776,1776,1776
2016,8323,Australian Exclusive Economic Zone,AUS,AUS,"NA","NA","NA","NA",PNG,1,25.0313888888889,27984.438294207248,56.81292412552,56.81292412552,56.81292412552,952.52707839514,952.52707839514,952.52707839514,1117.9738534855799,1117.9738534855799,1117.9738534855799
2016,8323,Australian Exclusive Economic Zone,AUS,AUS,"NA","NA","NA","NA",TWN,1,1.4833333333333334,1180.1751757867362,47.30443050079,47.30443050079,47.30443050079,500.60220015729993,500.60220015729993,500.60220015729993,795.6237140135299,795.6237140135299,795.6237140135299
2016,8323,Australian Exclusive Economic Zone,NFK,AUS,"NA","NA","NA","NA",TWN,2,10.884444444444444,9736.258785138241,50.227215250395,47.30443050079,53.15,494.80110007864994,489,500.60220015729993,845.411857006765,795.6237140135299,895.2
2016,8404,Bahamas Exclusive Economic Zone,BHS,BHS,"NA","NA","NA","NA",MHL,1,6.6002777777777775,13568.30243066014,23.882071803925,23.882071803925,23.882071803925,84.963557201525,84.963557201525,84.963557201525,2055.7168785142253,2055.7168785142253,2055.7168785142253
2016,8404,Bahamas Exclusive Economic Zone,BHS,BHS,"NA","NA","NA","NA",USA,1,2.406111111111111,6459.2534,20.85,20.85,20.85,106.4034627656909,106.4034627656909,106.4034627656909,2684.52,2684.52,2684.52
2016,8358,Bahraini Exclusive Economic Zone,BHR,BHR,"NA","NA","NA","NA",BHR,49,2569.801388888889,810765.6416057078,24.09200197218883,11.5804177653,33.097191433925,71.67801660285507,22.07883258515,130.48082950018,352.4417923371239,224.63006287514997,565.0965361739001
2016,8358,Bahraini Exclusive Economic Zone,BHR,BHR,"NA","NA","NA","NA",UNK,8,947.3055555555554,258559.814466363,16.75508384925,14.1815594664,20.0160860922,57.24304332991111,31.876087699,88.9416347919,244.96988835861666,160.12049420975,477.3459551492
2016,8418,Barbados Exclusive Economic Zone,BRB,BRB,"NA","NA","NA","NA",USA,1,7.089722222222222,6983.214744933681,16.045961035108334,16.045961035108334,16.045961035108334,47.63191081163333,47.63191081163333,47.63191081163333,984.9772002413999,984.9772002413999,984.9772002413999
2016,8340,Bassas da India Exclusive Economic Zone,ATF,FRA,"NA","NA","NA","NA",JPN,1,4.2380555555555555,2958.1627777777776,49.75678571500001,49.75678571500001,49.75678571500001,379,379,379,698,698,698
2016,8340,Bassas da India Exclusive Economic Zone,ATF,FRA,"NA","NA","NA","NA",KOR,1,3.3805555555555564,2509.161018518519,52.807500000000005,52.807500000000005,52.807500000000005,660,660,660,742.2333333333333,742.2333333333333,742.2333333333333
2016,8340,Bassas da India Exclusive Economic Zone,ATF,FRA,"NA","NA","NA","NA",MOZ,1,67.05166666666666,38651.81835193071,26.952386503742858,26.952386503742858,26.952386503742858,221.3584603191,221.3584603191,221.3584603191,576.4482864248572,576.4482864248572,576.4482864248572
2016,8340,Bassas da India Exclusive Economic Zone,ATF,FRA,"NA","NA","NA","NA",MUS,2,17.25861111111111,8494.365671451846,22.494476874700002,20.92,24.068953749400002,113.49300347144168,90,136.98600694288336,501.7197798519667,470.1781744043167,533.2613852996167
2016,3293,Belgian Exclusive Economic Zone,BEL,BEL,"NA","NA","NA","NA",BEL,43,25384.834722222222,5334052.013167747,24.906760116154093,12.764620889,39.915189214799994,141.22169547149156,10.6517401447,514.1604485683333,449.040961980061,142,1601.8745980979415
2016,3293,Belgian Exclusive Economic Zone,BEL,BEL,"NA","NA","NA","NA",DEU,4,310.0905555555556,93562.22117066603,27.5257797964259,20.712513160092307,41.35592977627778,202.62532146374735,73.6645114914077,463.88579678173335,583.1309599906268,281.49107144498464,1272.5374831752445
2016,3293,Belgian Exclusive Economic Zone,BEL,BEL,"NA","NA","NA","NA",FRA,31,1779.486388888889,741308.1021307897,20.20513976873763,11.17,34,117.7269287337871,7.37,319,366.5893797321241,147,662
2016,3293,Belgian Exclusive Economic Zone,BEL,BEL,"NA","NA","NA","NA",GBR,6,71.83027777777778,56879.066036276185,28.285991417904693,14.97,37.75,229.9203192481598,45.73,373,763.4574604965561,205,1492
2016,3293,Belgian Exclusive Economic Zone,BEL,BEL,"NA","NA","NA","NA",NLD,75,44809.10527777776,18622815.6968309,27.15159210860141,11.12380908696,46.75222816329999,198.09325518227294,13.71425409423,618.7729971867693,521.0865605550575,106.43522399150001,1632.935542412046
2016,3293,Belgian Exclusive Economic Zone,BEL,BEL,"NA","NA","NA","NA",NOR,1,6.226111111111112,37356.66666666667,99.5,99.5,99.5,5500,5500,5500,6000,6000,6000
2016,3293,Belgian Exclusive Economic Zone,BEL,BEL,"NA","NA","NA","NA",UNK,1,25.257777777777775,29866.072410484634,42.7042640577,42.7042640577,42.7042640577,417.25003389890003,417.25003389890003,417.25003389890003,1182.4505177475,1182.4505177475,1182.4505177475
2016,8393,Beninese Exclusive Economic Zone,BEN,BEN,"NA","NA","NA","NA",GHA,3,663.2986111111111,551052.6139095337,53.485,49.275,57.18,456.3333333333333,418,497,810.8340555220278,745.7,936.6271138891
2016,8402,Bermudian Exclusive Economic Zone,BMU,GBR,"NA","NA","NA","NA",USA,3,24.428333333333335,26453.780183079725,21.89064098964,15.162563958560002,24.65,79.62574941487429,37.916149765157144,114.41554549215,1247.6305651982543,697.1836180758571,1789.68
2016,26520,Bonaire Exclusive Economic Zone,BES,NLD,"NA","NA","NA","NA",VEN,2,5.265,4853.106741111111,41.812625000000004,32.115,51.510250000000006,414,198,630,1159.5635,894.84,1424.287
2016,8399,Bouvet Exclusive Economic Zone,BVT,NOR,"NA","NA","NA","NA",ZAF,1,423.97527777777816,423127.3272222226,59.835,59.835,59.835,1119.9,1119.9,1119.9,998,998,998
2016,8464,Brazilian Exclusive Economic Zone,BRA,BRA,"NA","NA","NA","NA",AFG,1,11.124722222222221,4783.44775440646,21.58954863695,21.58954863695,21.58954863695,124.416357315575,124.416357315575,124.416357315575,429.98356802574995,429.98356802574995,429.98356802574995
2016,8464,Brazilian Exclusive Economic Zone,BRA,BRA,"NA","NA","NA","NA",BRA,38,26765.431944444445,8578142.896926364,23.024058428465544,17.27010290002,36.995467489475004,121.7154624261217,47.30505725296,362.6461249366,338.921735277038,200.0309142267857,689.5068283394
2016,8464,Brazilian Exclusive Economic Zone,BRA,BRA,"NA","NA","NA","NA",ESP,6,38.887222222222235,24575.47999019445,45.46,28,64.98,616.6666666666666,169,1108,699.3753666666667,252.17919999999998,1301.95
2016,8464,Brazilian Exclusive Economic Zone,BRA,BRA,"NA","NA","NA","NA",FLK,4,36.81444444444445,61116.30159022358,65.53161578214716,49.062634721799995,72.01875337263573,1738.529434404263,873.368459810957,2077.789985421857,1963.102735733776,1271.1164479081929,2288.2363892029794
2016,8464,Brazilian Exclusive Economic Zone,BRA,BRA,"NA","NA","NA","NA",FRA,3,4.368611111111111,1399.7486111111111,21.8,20.8,22.3,99.56666666666666,96,106.7,318.3333333333333,316,323
