Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2033,biomass,Total,atlantic,121216511.83589882,125796752.78613624,0.03778561914434634,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2034,biomass,Total,atlantic,121219871.73623931,125910628.90191025,0.0386962723065529,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2035,biomass,Total,atlantic,121220123.41709962,126000276.09895179,0.039433656286624943,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2036,biomass,Total,atlantic,121218575.34540884,126070693.52916357,0.04002784366941087,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2037,biomass,Total,atlantic,121216086.13051592,126125872.64256331,0.04050441380165438,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2038,biomass,Total,atlantic,121213204.82400233,126168991.8859458,0.04088487775848444,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2039,biomass,Total,atlantic,121210269.9925802,126202584.85376093,0.041187226639181014,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2040,biomass,Total,atlantic,121207479.17413479,126229490.14885557,0.04143317730010553,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2041,biomass,Total,atlantic,121204937.1709694,126251003.31239349,0.04163251315667285,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2042,biomass,Total,atlantic,121202689.3062346,126268178.5859181,0.0417935386473552,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2043,biomass,Total,atlantic,121200744.0618768,126281870.98041642,0.04192323205495783,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2044,biomass,Total,atlantic,121199088.26989491,126292771.93058237,0.04202740906222395,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2045,biomass,Total,atlantic,121197697.12267542,126301439.19181225,0.042110883212334124,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2046,biomass,Total,atlantic,121196540.61238112,126308321.69928534,0.042177615475453775,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2047,biomass,Total,atlantic,121195587.53665192,126313780.09829703,0.04223084904058296,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
