Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2021,biomass,Total,atlantic,117869078.9426481,117982237.70794182,9.600377495846674e-4,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2022,biomass,Total,atlantic,118891379.10016891,119174583.55401838,0.002382043643474418,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2023,biomass,Total,atlantic,119614967.5226183,120090255.9063583,0.003973485873748487,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2024,biomass,Total,atlantic,120122008.36797903,120791154.16905306,0.0055705512267509045,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2025,biomass,Total,atlantic,120474176.8414368,121328147.98939362,0.007088416541586172,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2026,biomass,Total,atlantic,120716806.89087257,121741592.40278588,0.008489170135519869,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2027,biomass,Total,atlantic,120882682.30389288,122062679.69260743,0.00976150897899584,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2028,biomass,Total,atlantic,120995205.93224023,122315051.59875989,0.01090824761485837,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2029,biomass,Total,atlantic,121070908.78718127,122516362.64126047,0.011938903148237071,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2030,biomass,Total,atlantic,121121365.59405091,122679651.03036211,0.012865487675675101,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2031,biomass,Total,atlantic,121154620.01068151,122814470.16353205,0.013700262959053472,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2032,biomass,Total,atlantic,121176224.99299023,122927785.17732921,0.014454652176533068,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2033,biomass,Total,atlantic,121189991.20469391,123024662.78796898,0.015138804492330094,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2034,biomass,Total,atlantic,121198519.20688605,123108790.5197236,0.015761507032744395,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2035,biomass,Total,atlantic,121203574.34117149,123182860.94096652,0.01633026592288118,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2036,biomass,Total,atlantic,121206348.7229302,123248852.25232619,0.01685145663504003,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2037,biomass,Total,atlantic,121207643.09669968,123308231.05756027,0.017330490942594496,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2038,biomass,Total,atlantic,121207992.30914825,123362097.711683,0.017771974945683267,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2039,biomass,Total,atlantic,121207751.41116878,123411289.86953522,0.018179847680627727,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2040,biomass,Total,atlantic,121207154.4471551,123456455.93695313,0.018557497699351513,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2041,biomass,Total,atlantic,121206354.40632841,123498107.03902626,0.01890785878284112,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2042,biomass,Total,atlantic,121205450.2497507,123536653.76037848,0.01923348748611716,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2043,biomass,Total,atlantic,121204505.11351961,123572432.14901611,0.019536625583997172,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2044,biomass,Total,atlantic,121203558.51539825,123605722.17995854,0.019819250309017176,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2045,biomass,Total,atlantic,121202634.50421083,123636760.93632898,0.020083114876794043,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2046,biomass,Total,atlantic,121201747.07589728,123665752.0931124,0.020329781349373972,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2047,biomass,Total,atlantic,121200903.75589298,123692872.81137304,0.020560647472555663,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2048,biomass,Total,atlantic,121200107.95655555,123718278.81437871,0.020776968769085646,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2049,biomass,Total,atlantic,121199360.51976557,123742108.18162072,0.020979876881779973,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2050,biomass,Total,atlantic,121198660.7198787,123764484.23275052,0.021170394933670886,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2051,biomass,Total,atlantic,121198006.9108992,123785517.75974584,0.02134945049673038,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2052,biomass,Total,atlantic,121197396.94022688,123805308.78701645,0.021517886626523503,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2053,biomass,Total,atlantic,121196828.4100494,123823947.98493996,0.021676471318227444,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2054,biomass,Total,atlantic,121196298.83986814,123841517.82495324,0.02182590566218629,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2055,biomass,Total,atlantic,121195805.76528826,123858093.53857376,0.021966830918566327,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2056,biomass,Total,atlantic,121195346.79603598,123873743.92494366,0.02209983468602348,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2057,biomass,Total,atlantic,121194919.64813776,123888532.03917602,0.022225456305087314,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2058,biomass,Total,atlantic,121194522.15991996,123902515.78521088,0.02234419161055508,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2059,biomass,Total,atlantic,121194152.29803687,123915748.43087927,0.022456497126606634,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2060,biomass,Total,atlantic,121193808.15748912,123928279.058622,0.022562793782166555,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2061,biomass,Total,atlantic,121193487.9581401,123940152.96226892,0.022663470211184155,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2062,biomass,Total,atlantic,121193190.03930163,123951411.99807583,0.022758885692172413,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2063,biomass,Total,atlantic,121192912.8533602,123962094.89659187,0.02284937277299617,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2064,biomass,Total,atlantic,121192654.95903522,123972237.54070988,0.022935239620043,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2065,biomass,Total,atlantic,121192415.01461965,123981873.21432404,0.02301677212528438,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
2066,biomass,Total,atlantic,121192191.77140433,123991032.82529533,0.023094235800027823,RD/TN/RL/112/Rev.1,OFOC - Prohibition + management,OFOC
