Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2020,biomass,Total,atlantic,116441600.43312888,116441600.43312888,0,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2021,biomass,Total,atlantic,117868453.7005579,118010138.25406995,0.0012020566068678398,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2022,biomass,Total,atlantic,118889811.88357885,119242580.35500507,0.0029671884061155908,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2023,biomass,Total,atlantic,119612565.41560026,120202297.90490979,0.004930355663391027,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2024,biomass,Total,atlantic,120119144.36448894,120947037.72402146,0.006892268205144424,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2025,biomass,Total,atlantic,120471302.28581578,121525717.98947914,0.00875242222551711,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2026,biomass,Total,atlantic,120714319.67972313,121977883.32474282,0.01046738819696087,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2027,biomass,Total,atlantic,120880862.23826587,122334482.19134942,0.012025228197151204,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2028,biomass,Total,atlantic,120994201.09403986,122619181.48908997,0.013430233683572415,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2029,biomass,Total,atlantic,121070751.90352005,122849782.94044353,0.014694143787437393,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2030,biomass,Total,atlantic,121122003.32036021,123039524.43811028,0.015831319373725505,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2031,biomass,Total,atlantic,121155944.0464811,123198179.27006704,0.016856252820764916,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2032,biomass,Total,atlantic,121178099.12010112,123332937.26289982,0.017782405883946115,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2033,biomass,Total,atlantic,121192271.94067311,123449086.47870682,0.01862176937435813,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2034,biomass,Total,atlantic,121201069.90994506,123550527.46826755,0.01938479223053217,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2035,biomass,Total,atlantic,121206273.67136759,123640154.14495045,0.0200804826339432,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2036,biomass,Total,atlantic,121209094.74623632,123720132.10124785,0.02071657543741777,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2037,biomass,Total,atlantic,121210354.31487711,123792100.01608106,0.02129971251876028,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2038,biomass,Total,atlantic,121210606.7122041,123857314.4309571,0.02183561150747471,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2039,biomass,Total,atlantic,121210224.40330896,123916753.38679379,0.022329213536304186,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2040,biomass,Total,atlantic,121209456.25761166,123971190.47264065,0.022784808217927766,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2041,biomass,Total,atlantic,121208467.39320746,124021247.74734378,0.02320613744757197,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2042,biomass,Total,atlantic,121207366.34704801,124067433.6498989,0.023596480882702914,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2043,biomass,Total,atlantic,121206223.55667119,124110170.27514815,0.02395872615500801,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2044,biomass,Total,atlantic,121205083.90236883,124149813.12379262,0.02429542661589823,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2045,biomass,Total,atlantic,121203975.19908647,124186665.52344978,0.02460884900403652,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2046,biomass,Total,atlantic,121202913.93263483,124220989.26741035,0.024901012994233647,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2047,biomass,Total,atlantic,121201909.1249256,124253012.5579162,0.025173724201371723,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2048,biomass,Total,atlantic,121200964.93140602,124282936.01729946,0.02542860188974309,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2049,biomass,Total,atlantic,121200082.38104086,124310937.30364686,0.025667102377255748,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2050,biomass,Total,atlantic,121199260.53746235,124337174.7092054,0.02589053891771171,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2051,biomass,Total,atlantic,121198497.27012454,124361790.00912368,0.026100098683145105,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2052,biomass,Total,atlantic,121197789.76323116,124384910.7508848,0.026296857342695105,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2053,biomass,Total,atlantic,121197134.84874675,124406652.12079076,0.026481791636819428,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2054,biomass,Total,atlantic,121196529.22170292,124427118.48601267,0.026655790269373824,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2055,biomass,Total,atlantic,121195969.57700033,124446404.68409579,0.026819663380227565,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2056,biomass,Total,atlantic,121195452.69406076,124464597.11297736,0.026974150813801976,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2057,biomass,Total,atlantic,121194975.48701769,124481774.66117257,0.027119929361320405,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2058,biomass,Total,atlantic,121194535.03229438,124498009.5081659,0.027257619124420505,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2059,biomass,Total,atlantic,121194128.58148912,124513367.81808016,0.027387789123457695,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2060,biomass,Total,atlantic,121193753.56484704,124527910.3445982,0.027510962254066684,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2061,biomass,Total,atlantic,121193407.58882643,124541692.9613361,0.027627619679359294,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2062,biomass,Total,atlantic,121193088.43007909,124554767.12903605,0.027738204731835404,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2063,biomass,Total,atlantic,121192794.027371,124567180.30879517,0.02784312638804309,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2064,biomass,Total,atlantic,121192522.4724384,124578976.32888792,0.027942762369845688,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
2065,biomass,Total,atlantic,121192272.00042117,124590195.71144667,0.02803746191847693,RD/TN/RL/126 | Objective Definition,Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition),Other
