"","Id","Name","Category","Year","Biomass","Catches"
"1","Ambitious Reform","All subsidies","Ambitious Reform",2050,34645729.0948285,3129667.28857675
"2","Ambitious Reform","All subsidies","Ambitious Reform",2080,34836843.8521141,3118113.90831798
"3","RD/TN/RL/104","EU - IUU (RD/TN/RL/104)","IUU",2050,17597.1474816203,-649.331361070275
"4","RD/TN/RL/104","EU - IUU (RD/TN/RL/104)","IUU",2080,17826.7000909448,-594.593987524509
"5","RD/TN/RL/112/Rev.1","EU and others - Overfishing and overcapacity (RD/TN/RL/112/Rev.1)","OFOC",2050,1616150.8008132,-45938.8519089669
"6","RD/TN/RL/112/Rev.1","EU and others - Overfishing and overcapacity (RD/TN/RL/112/Rev.1)","OFOC",2080,1836514.39035851,-36063.1393073797
"7","RD/TN/RL/113","Facilitator's working text - IUU (RD/TN/RL/113)","IUU",2050,17597.1474816203,-649.331361070275
"8","RD/TN/RL/113","Facilitator's working text - IUU (RD/TN/RL/113)","IUU",2080,17826.7000909448,-594.593987524509
"9","RD/TN/RL/119 | Objective Definition","Facilitator's text - Overfished (RD/TN/RL/119 | Objective Definition)","Overfished",2050,5044519.50378764,196307.235656142
"10","RD/TN/RL/119 | Objective Definition","Facilitator's text - Overfished (RD/TN/RL/119 | Objective Definition)","Overfished",2080,5668946.98558891,251796.126668528
"11","RD/TN/RL/119 | Relevant Authorities","Facilitator's text - Overfished (RD/TN/RL/119 | Relevant Authorities)","Overfished",2050,1234253.98227149,-77777.8944794238
"12","RD/TN/RL/119 | Relevant Authorities","Facilitator's text - Overfished (RD/TN/RL/119 | Relevant Authorities)","Overfished",2080,1426978.14270258,-69415.5558694303
"13","RD/TN/RL/121","Canada - Overfishing and overcapacity (RD/TN/RL/121)","OFOC",2050,11564737.9657875,169985.72764878
"14","RD/TN/RL/121","Canada - Overfishing and overcapacity (RD/TN/RL/121)","OFOC",2080,12337201.3183916,253696.522818029
"15","RD/TN/RL/124","Brazil - Formula (RD/TN/RL/124)","OFOC",2050,19876469.9528432,2002148.55625784
"16","RD/TN/RL/124","Brazil - Formula (RD/TN/RL/124)","OFOC",2080,19897786.7328038,2002710.45089187
"17","RD/TN/RL/125","LDC - Full text (RD/TN/RL/125)","Other",2050,3482050.44563293,125265.820755288
"18","RD/TN/RL/125","LDC - Full text (RD/TN/RL/125)","Other",2080,3898141.95610332,141203.069217533
"19","RD/TN/RL/126 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition)","Other",2050,7127606.69289362,391258.631703362
"20","RD/TN/RL/126 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition)","Other",2080,7797060.94489485,443955.049280867
"21","RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition)","Other",2050,22818897.5070493,1780642.02066295
"22","RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition)","Other",2080,22833771.3419125,1782519.38959092
"23","RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities)","Other",2050,22809438.3541407,1781742.49737079
"24","RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities)","Other",2080,22833731.0630589,1782524.47261341
"25","RD/TN/RL/126 | RD/TN/RL/81 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/81 | Objective Definition)","Other",2050,15662212.3225873,1028774.15667737
"26","RD/TN/RL/126 | RD/TN/RL/81 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/81 | Objective Definition)","Other",2080,15682382.7956586,1030882.79128389
"27","RD/TN/RL/126 | RD/TN/RL/81 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/81 | Relevant Authorities)","Other",2050,15662106.3504875,1028801.2946955
"28","RD/TN/RL/126 | RD/TN/RL/81 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/81 | Relevant Authorities)","Other",2080,15681730.7277402,1030860.33160202
"29","RD/TN/RL/126 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities)","Other",2050,4403376.1654042,56792.3627070785
"30","RD/TN/RL/126 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities)","Other",2080,4818718.71041751,71519.9731524289
"31","RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Objective Definition)","Other",2050,21362858.2588114,1642167.89954241
"32","RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Objective Definition)","Other",2080,21387420.9687306,1644521.20608275
"33","RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities)","Other",2050,21363151.9571108,1642180.51600663
"34","RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities)","Other",2080,21386864.702907,1644504.45114814
"35","RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition)","Other",2050,12678704.1489997,823011.063040242
