"","Id","Name","Category","Year","Biomass","Catches","Fishing Mortality","Revenue"
"1","Ambitious Reform","All subsidies","Ambitious Reform",2050,0.124898684614206,0.0349365978802242,-0.0826450698910286,0.00431994071370951
"2","Ambitious Reform","All subsidies","Ambitious Reform",2080,0.125588379453667,0.0348077373021259,-0.0831110542583321,0.00430336995435606
"3","RD/TN/RL/87","IUU (Option A)","IUU",2050,6.34394345612685e-05,-7.24860082829822e-06,-4.50951095891807e-05,-9.10601617380764e-07
"4","RD/TN/RL/87","IUU (Option A)","IUU",2080,6.42673915743992e-05,-6.63757988069431e-06,-4.55444951551873e-05,-8.32986499805821e-07
"5","RD/TN/RL/104","IUU (Option B)","IUU",2050,6.34394345612685e-05,-7.24860082829822e-06,-4.50951095891807e-05,-9.10601617380764e-07
"6","RD/TN/RL/104","IUU (Option B)","IUU",2080,6.42673915743992e-05,-6.63757988069431e-06,-4.55444951551873e-05,-8.32986499805821e-07
"7","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2050,4.22745859229446e-05,-3.30278771974322e-06,-3.11211120380807e-05,-4.09679846545721e-07
"8","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2080,4.50255446300591e-05,-2.68379244648541e-06,-3.25591010963209e-05,-3.31049193952893e-07
"9","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU",2050,6.34394345612685e-05,-7.24860082829822e-06,-4.50951095891807e-05,-9.10601617380764e-07
"10","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU",2080,6.42673915743992e-05,-6.63757988069431e-06,-4.55444951551873e-05,-8.32986499805821e-07
"11","RD/TN/RL/81","CAP - De minimis","OFOC",2050,0.00340930415159115,0.000965443784159104,-0.00213734337216919,0.000122836147045509
"12","RD/TN/RL/81","CAP - De minimis","OFOC",2080,0.00341192135144501,0.000966486204556375,-0.00214167546531244,0.000122978626503165
"13","RD/TN/RL/79/Rev.1","OFOC - Negative effects (Option A)","OFOC",2050,0.0181855347764931,0.00219139885069529,-0.0113611069905211,0.000275487098752219
"14","RD/TN/RL/79/Rev.1","OFOC - Negative effects (Option A)","OFOC",2080,0.0204374826484814,0.00281085697175949,-0.0124745110532019,0.000353473537441637
"15","TN/RL/GEN/199","CAP - Optional criteria","OFOC",2050,0.0124930611738871,0.00388874811215207,-0.00954291727227462,0.000498603239270668
"16","TN/RL/GEN/199","CAP - Optional criteria","OFOC",2080,0.0128486928386318,0.00401031110685335,-0.00975674365301308,0.000513967386374494
"17","RD/TN/RL/91","OFOC - ABNJ","OFOC",2050,0.0484100693496195,0.00341992973388891,-0.0557301821431119,0.000176208006678449
"18","RD/TN/RL/91","OFOC - ABNJ","OFOC",2080,0.0507630718905528,0.00409898391034027,-0.0571060812740743,0.000260352139086105
"19","RD/TN/RL/96/Rev.1","OFOC - List approach","OFOC",2050,0.0479311150018497,0.0160134537960391,-0.0412085699796104,0.00182537312799332
"20","RD/TN/RL/96/Rev.1","OFOC - List approach","OFOC",2080,0.0487679967455114,0.0159585152105415,-0.0417213973816267,0.00181794358928642
"21","TN/RL/GEN/197/Rev.2","CAP - Tiers","OFOC",2050,0.0619519108549991,0.02006559601946,-0.0418193382868462,0.00252174998813911
"22","TN/RL/GEN/197/Rev.2","CAP - Tiers","OFOC",2080,0.0619735574501158,0.0200695772139934,-0.0418431141526394,0.00252229703668635
"23","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2050,0.081050418761998,0.0198284830861284,-0.0625872600765918,0.00245317041925884
"24","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2080,0.0819436364910631,0.0198501178914586,-0.0630806470028144,0.00245523997469059
"25","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2050,0.0181855395998223,0.00219140105642244,-0.0113611097625721,0.000275487377033347
