"","Id","Name","Category","Year","Region","Biomass","Catches","Fishing Mortality","Revenue"
"1","Ambitious Reform","All subsidies","Ambitious Reform",2050,"atlantic",6.343,-2.304,-8.132,-0.304
"2","RD/TN/RL/87","IUU (Option A)","IUU",2050,"atlantic",0.013,-0.004,-0.016,0
"3","RD/TN/RL/104","IUU (Option B)","IUU",2050,"atlantic",0.013,-0.004,-0.016,0
"4","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2050,"atlantic",0.008,-0.002,-0.01,0
"5","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU",2050,"atlantic",0.013,-0.004,-0.016,0
"6","RD/TN/RL/81","CAP - De minimis","OFOC",2050,"atlantic",0.254,-0.079,-0.332,-0.01
"7","RD/TN/RL/79/Rev.1","OFOC - Negative effects (Option A)","OFOC",2050,"atlantic",2.117,-0.771,-2.828,-0.101
"8","TN/RL/GEN/199","CAP - Optional criteria","OFOC",2050,"atlantic",0.712,-0.228,-0.934,-0.03
"9","RD/TN/RL/91","OFOC - ABNJ","OFOC",2050,"atlantic",3.417,-1.247,-4.51,-0.164
"10","RD/TN/RL/96/Rev.1","OFOC - List approach","OFOC",2050,"atlantic",1.461,-0.528,-1.961,-0.069
"11","TN/RL/GEN/197/Rev.2","CAP - Tiers","OFOC",2050,"atlantic",2.963,-0.986,-3.835,-0.129
"12","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2050,"atlantic",5.255,-1.892,-6.789,-0.249
"13","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2050,"atlantic",2.117,-0.771,-2.828,-0.101
"14","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC",2050,"atlantic",2.41,-0.878,-3.21,-0.115
"15","RD/TN/RL/124","CAP - Formula","OFOC",2050,"atlantic",3.524,-1.192,-4.556,-0.156
"16","RD/TN/RL/124/Rev.1","CAP - Formula (revised)","OFOC",2050,"atlantic",3.402,-1.147,-4.4,-0.15
"17","RD/TN/RL/77/Rev.2","Overfished - Negative effects (Option A)","Overfished",2050,"atlantic",0.958,-0.333,-1.279,-0.044
"18","RD/TN/RL/95","Overfished - Negative effects + rebuttable (Option B)","Overfished",2050,"atlantic",0.748,-0.262,-1.002,-0.034
"19","RD/TN/RL/119/Rev.1 | Objective definition","Facilitator's text - Overfished [Objective definition]","Overfished",2050,"atlantic",2.117,-0.771,-2.828,-0.101
"20","RD/TN/RL/119/Rev.1 | Relevant authorities","Facilitator's text - Overfished [Relevant authorities]","Overfished",2050,"atlantic",0.958,-0.333,-1.279,-0.044
"21","TN/RL/GEN/202","Disputed waters","Other & Multiple",2050,"atlantic",0.037,-0.017,-0.054,-0.002
"22","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple",2050,"atlantic",4.8,-1.757,-6.257,-0.231
"23","TN/RL/GEN/200/Rev.1","S&DT","Other & Multiple",2050,"atlantic",4.031,-1.482,-5.299,-0.195
"24","RD/TN/RL/126/Rev.2 | Objective definition","Chair's text - Consolidated text (Dec 2020) [Objective definition]","Other & Multiple",2050,"atlantic",3.106,-1.136,-4.115,-0.149
"25","RD/TN/RL/126/Rev.2 | Relevant authorities","Chair's text - Consolidated text (Dec 2020) [Relevant authorities]","Other & Multiple",2050,"atlantic",3.076,-1.123,-4.074,-0.147
"26","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Optional criteria]","Other & Multiple",2050,"atlantic",4.615,-1.6,-5.941,-0.21
"27","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Optional criteria]","Other & Multiple",2050,"atlantic",4.606,-1.596,-5.929,-0.21
"28","RD/TN/RL/126/Rev.2 | Objective definition + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Tiers]","Other & Multiple",2050,"atlantic",5.502,-1.946,-7.059,-0.256
"29","RD/TN/RL/126/Rev.2 | Relevant authorities + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Tiers]","Other & Multiple",2050,"atlantic",5.501,-1.945,-7.058,-0.256
"30","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - De minimis]","Other & Multiple",2050,"atlantic",4.616,-1.6,-5.942,-0.21
"31","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - De minimis]","Other & Multiple",2050,"atlantic",4.606,-1.596,-5.929,-0.21
"32","RD/TN/RL/126/Rev.2 | Objective definition + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Objective definition + CAP - Formula]","Other & Multiple",2050,"atlantic",5.691,-2.014,-7.29,-0.265
"33","RD/TN/RL/126/Rev.2 | Relevant authorities + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Relevant authorities + CAP - Formula]","Other & Multiple",2050,"atlantic",5.683,-2.015,-7.284,-0.265
"34","RD/TN/RL/136","Artisanal - Exemption","Other & Multiple",2050,"atlantic",3.076,-1.123,-4.073,-0.147
"35","TN/RL/W/276/Rev.1 | Full exemption + S&DT for all developing countries","Chair's text - June 2021 [Full exemption + S&DT for all developing countries]","Other & Multiple",2050,"atlantic",2.041,-0.736,-2.722,-0.096
"36","TN/RL/W/276/Rev.1 | Full exemption","Chair's text - June 2021 [Full exemption]","Other & Multiple",2050,"atlantic",3.076,-1.123,-4.074,-0.147
