"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","NAT","National currency","2009","2009","AUD","Australian Dollar","0","Units",,,92244181,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,75092112,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,78709489,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,89281281,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,123828965,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,117560592.21,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","NAT","National currency","2015","2015","AUD","Australian Dollar","0","Units",,,143741988.94,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","NAT","National currency","2016","2016","AUD","Australian Dollar","0","Units",,,106187439,,
"AUS","Australia","FSE","FISHERIES SUPPORT ESTIMATE - TOTAL","NAT","National currency","2017","2017","AUD","Australian Dollar","0","Units",,,142579137,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","NAT","National currency","2009","2009","AUD","Australian Dollar","0","Units",,,92244181,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","NAT","National currency","2010","2010","AUD","Australian Dollar","0","Units",,,75092112,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","NAT","National currency","2011","2011","AUD","Australian Dollar","0","Units",,,78709489,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","NAT","National currency","2012","2012","AUD","Australian Dollar","0","Units",,,89281281,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","NAT","National currency","2013","2013","AUD","Australian Dollar","0","Units",,,123828965,,
"AUS","Australia","FSE_BUD","FISHERIES SUPPORT ESTIMATE - Budgetary","NAT","National currency","2014","2014","AUD","Australian Dollar","0","Units",,,117560592.21,,
